arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
14090,13837,0,13462,13477,146,604230,196325,130456,67302,205,3159,36064,33188,155145,9938,6752,1293,7852,3446,2017,11841,581
11619,11686,0,12368,12201,165,505366,332547,298612,171151,225,9643,100605,100559,455480,16483,9397,1399,8057,3729,1727,9139,510
13153,13019,0,12886,13605,166,290059,199075,129668,66382,190,3043,35265,32664,153538,9691,6359,1351,7637,3501,2040,14016,548
12873,13014,0,13680,13195,184,563395,527689,324673,181823,217,9632,68287,65455,292448,10437,7026,871,6086,2956,1670,9587,504
12731,11890,0,12301,12233,135,281408,193058,128131,66868,196,8866,70010,68715,313027,14989,14701,2307,12077,3769,2189,12789,520
13216,12961,0,13597,14093,189,592310,398059,256315,142421,197,3062,35480,32842,155614,9925,6499,728,5520,2998,2007,11967,518
11887,11965,0,11883,12177,164,522971,336809,213552,118758,205,15821,98605,96015,290517,13415,9503,1478,8357,3025,1707,9565,409
12395,13468,0,12933,13219,151,519646,347340,227464,67118,192,3413,36452,33482,156687,13706,9442,1420,7990,3523,2442,14427,535
12748,12688,0,12251,11752,137,589998,374577,234671,128920,241,17131,102576,97214,291539,13413,9365,1303,5736,3025,1716,9530,491
13105,13195,0,12712,12229,117,285928,196165,129669,66324,190,3217,36288,33640,158041,14463,10477,1690,9299,4348,2563,16056,564
13141,12918,0,13048,13182,196,810833,540444,285700,144487,214,12321,78588,33452,156574,10126,6459,868,5535,3042,1677,8534,495
12845,12271,0,11961,11996,158,287248,195923,129369,119603,202,9526,67457,64787,423995,15730,11878,1367,8282,3630,2156,12851,461
13281,13509,0,12398,13089,185,725333,479058,222574,126417,217,11197,37107,34519,159523,9486,6109,845,7856,3513,2038,12121,560
12203,12516,0,12065,12034,115,281350,194348,128060,134430,209,10658,71273,101091,431552,15903,11273,1346,7537,3534,2065,9029,507
13155,13289,0,12922,12665,180,506634,195791,129039,66211,192,3116,35658,33091,155387,9827,6271,807,8020,3645,2166,16663,672
12095,12573,0,12942,13470,148,538740,361921,346012,207184,234,22526,84032,78339,336766,13427,6288,929,5341,2993,1641,8892,528
14016,14244,0,12960,12307,150,287013,196244,129016,66395,195,3064,47501,61209,274332,12749,11379,2211,12208,4708,2722,15843,549
12456,12385,0,13538,13591,170,504164,469988,299614,176222,243,10654,74435,73415,335823,10712,7238,775,5978,2998,1728,12171,591
12809,11994,0,12442,12452,141,290335,198826,128587,66457,199,3044,74849,70399,306440,13232,11616,1718,9679,3935,2062,11565,495
12461,12367,0,13347,13268,185,517295,332965,211763,117924,205,3002,35294,33002,156977,9751,6529,787,5875,3000,1681,13186,488
12223,11988,0,12363,12403,142,286652,349755,229079,131933,219,21468,131299,131225,559202,14327,9558,1396,8035,2955,1651,9331,450
14495,13669,0,13487,13048,121,283284,194590,128550,66397,194,3051,35732,32979,154320,9985,8967,1318,7755,3465,2408,14729,567
11813,12404,0,12250,12434,145,730056,474268,301918,163373,215,16673,106189,106543,318687,13287,9369,1438,5463,2995,1670,9079,491
13628,12776,0,13208,13231,127,284682,195137,127251,65925,212,3192,35444,33192,156808,10583,9707,1495,7940,3479,2372,14331,545
13127,13198,0,12703,12610,127,821645,512302,315603,176289,214,9543,67626,64929,154292,9700,6377,932,6397,2997,1690,10061,443
11795,12026,0,11962,11937,97,280156,191749,129095,67003,204,10455,74826,73976,338351,19927,14399,2248,11740,3560,2076,12164,530
13429,14428,0,13966,14039,177,612065,405191,256174,67990,191,3095,36240,33424,156163,10250,6550,783,5506,3030,2057,11384,524
12042,12099,0,12010,12069,102,514686,333535,214388,118976,222,16078,100277,98122,299779,13685,9910,1424,6026,2998,1674,9180,467
13805,13418,0,13434,13104,133,498182,335160,132097,65704,211,3063,35419,33022,172134,13755,9749,1468,8128,3997,2342,14079,520
12523,12892,0,12941,12478,162,574986,368195,230216,186065,218,16635,99991,65112,291106,13489,9729,915,6108,3023,1718,10101,506
12527,12556,0,11605,12013,137,283213,195837,129647,66716,204,3088,36314,33470,325968,13956,10269,1613,11892,4284,2571,15804,503
12661,13199,0,13336,14103,130,855328,571866,255714,144367,229,20023,74414,69790,303408,13068,8953,1237,5468,2978,1668,9213,440
11825,11487,0,11991,12107,122,281090,193225,126921,118347,215,9553,67921,97170,428452,16853,12376,1527,8818,3597,2179,9996,441
