arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
13048,12712,0,12976,12452,145,344531,220804,114791,35573,188,2339,23526,22131,91454,8589,5589,655,4833,2809,2107,10764,516
12483,12505,0,12387,12245,171,483355,317098,202186,186282,218,18902,101894,59984,246780,15019,11547,937,8198,2284,1651,11114,495
12334,12331,0,11367,11820,110,154468,99046,65759,33619,185,2295,22359,21522,229030,12688,9648,1165,11034,3461,2658,16139,532
12789,12658,0,12453,13280,187,650581,425630,179701,105232,198,11399,26111,24499,103532,12153,9120,900,7934,2303,1635,10118,523
13937,13149,0,12860,12439,131,150966,98580,66318,89936,201,8694,52880,82938,350870,15540,11799,1469,9827,3153,2410,12267,553
12376,12537,0,12744,13267,170,629090,254931,162872,91599,199,9323,25483,24080,100518,11797,9007,915,7305,2350,1691,10192,522
11827,12359,0,12279,12236,120,157233,100552,188714,112312,203,11389,71026,101866,415797,17986,11109,1349,9343,2652,1851,9276,473
14337,13648,0,12428,12829,155,166655,106319,70344,35480,187,2377,23612,22458,95023,10658,8293,1268,10100,2805,2046,17505,607
11547,11847,0,12097,12074,160,384430,398426,259354,156988,223,10545,66370,67306,295189,10207,7763,899,6802,2191,1638,10174,477
14269,13481,0,14192,13977,147,153877,99518,66085,33485,182,2361,58516,55849,229299,13370,12351,1838,10400,3090,1967,14219,551
12897,12690,0,12398,12527,171,403893,264684,73902,37567,195,2376,24649,23240,100759,12292,9792,1007,11144,2811,2021,14263,477
12501,12464,0,11925,13070,142,461665,279870,172894,157783,221,16201,55447,53218,223155,11862,8554,815,5493,2196,1668,8457,501
12613,12399,0,11786,11874,157,175894,115017,77487,39399,187,2462,25765,61879,271055,17028,13876,1781,14811,3676,2611,15059,522
12772,12977,0,13637,13348,166,710225,280576,185293,109463,203,2624,22801,21735,89217,10535,7734,952,6689,2237,1742,9084,528
12271,11528,0,11628,11849,152,183153,120408,168207,92695,200,8976,88741,86952,495400,19980,13972,2048,12675,3409,2069,15821,480
12708,12720,0,13015,12794,200,359621,236061,155478,89346,205,2387,23735,22445,92291,10309,7762,1574,8666,2692,2006,14171,555
12329,12379,0,12519,12618,132,166575,308647,187591,104341,200,9894,94900,90126,370895,14222,10945,1172,9746,2751,1663,11170,506
12471,11688,0,11901,11891,172,164708,106457,70228,35322,192,2330,23040,22265,90625,10620,11542,1533,10982,2811,2110,17333,576
11870,11770,0,12939,13453,133,430872,448235,295014,181176,206,12094,70989,66492,268293,10978,7978,895,6892,2313,1697,9717,490
11992,12712,0,12010,11558,147,163533,104403,68789,35232,187,8813,55288,54295,227149,16631,13339,1802,12182,2703,1979,13935,529
12546,13148,0,13130,13250,177,608459,384941,244543,92166,197,9843,62448,63207,93128,9132,5654,678,5301,2221,2065,11241,546
12290,11993,0,12321,12368,153,173401,114462,75489,37833,199,10658,63989,60796,250298,18775,14694,2019,10732,2765,1981,13160,527
11935,12875,0,13017,11981,131,390417,242371,153933,34175,180,2284,22730,21707,90700,9385,6610,813,5828,2813,2190,12007,578
11661,12041,0,12053,12057,167,416786,275153,181010,106847,223,20586,121502,72677,297763,16458,12405,1407,7959,2280,1657,10480,462
13886,13954,0,12985,12327,137,153183,97601,65498,33112,180,2269,22518,21374,223797,12393,9088,1231,8081,3139,2408,14466,523
12288,12358,0,12263,13194,177,588523,373505,150117,135663,213,15147,73581,60626,264267,15064,12103,1049,8308,2330,1622,11432,443
12608,12951,0,12369,12282,130,158194,102379,66867,33873,187,2339,23157,63314,256403,13545,10108,1235,10346,3056,2271,11201,515
12252,12101,0,12004,12793,202,676647,259016,160623,89612,197,8885,24286,23115,97384,12041,9334,942,8121,2328,1725,10880,552
11601,11655,0,11695,11796,135,161009,104194,161638,94556,198,10521,65659,111891,496112,19542,11522,1471,9621,2759,2043,9673,479
13645,13530,0,12897,12843,148,495599,106563,70752,36269,190,2361,23549,22045,92551,10446,7527,1364,8812,2775,2057,12601,587
11758,12057,0,12980,12639,199,589572,370655,320539,189725,217,8852,57350,57335,250839,15401,9371,1139,8108,2314,1688,10357,487
12817,12016,0,12575,12851,134,167053,106809,70615,34955,193,2399,69520,64951,262427,11324,10207,1819,8761,3059,1997,13294,540
12433,12777,0,12653,12637,165,458182,448771,273983,155423,191,9147,58100,56480,241371,12312,9311,990,8525,2317,1679,10882,445
12384,11609,0,11955,12005,107,152513,100512,67808,33662,188,9852,62125,63049,275668,13802,14372,2358,11678,2841,2134,11492,537
13045,12878,0,14109,14201,194,483342,315991,198083,109075,191,2493,25537,23570,96891,10923,8215,996,7314,2274,2012,13397,528
11541,11566,0,11239,11425,117,388370,238907,153234,86965,197,15315,87328,85617,229902,13402,10241,1331,9274,2221,1646,9030,483
12475,13565,0,13564,13579,150,418898,273491,177666,39019,194,2441,24885,23417,100043,15332,11511,1493,9697,2878,2379,14956,598
12508,12468,0,11936,11615,165,458391,281128,172149,95076,215,16065,87754,81391,224503,12933,9675,1281,6749,2195,1697,9809,501
12835,12971,0,12801,12584,127,168603,111951,74974,38560,196,2595,25573,24650,269095,16082,12998,1702,10449,3629,2654,16212,562
12345,12402,0,12843,12958,192,733226,480103,192419,113357,208,11294,65294,22335,92228,11206,8809,1119,7649,2237,1629,10455,465
