arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
13660,13864,0,13063,13316,46,399632,258954,54316,25485,175,2087,19572,19036,72973,2956,224,40,300,2896,2301,3879,655
12175,12905,0,14778,19131,534,6909465,5434821,3316385,2070068,1208,227572,1023452,746495,1895612,16407,9257,861,4710,2737,2266,4319,757
18057,20013,0,19382,19160,373,2591614,1804841,1365721,809272,570,108391,648983,610861,3239964,62184,35955,5876,31261,13487,7166,36480,1237
9614,9774,0,10362,7587,107,440515,269014,158860,460364,620,164869,1037633,1019262,4595000,68182,29360,6840,17870,22105,10940,37720,1791
700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,462,187,275,815,612,1120,30
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,253,107,146,833,609,1006,27
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,568,209,359,1169,837,1568,40
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,289,91,198,792,573,1014,24
964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,577,140,437,887,637,1361,37
917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,524,190,334,862,638,1242,46
745,876,0,0,0,0,0,0,0,0,0,0,0,0,0,178,182,88,207,797,575,1025,21
485,485,0,0,0,0,0,0,0,0,0,0,0,0,0,217,77,90,196,815,596,1037,26
819,801,0,0,0,0,0,0,0,0,0,0,0,0,0,301,182,184,265,1198,878,1491,28
570,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,97,150,795,582,967,22
712,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,130,205,824,601,1059,30
594,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,76,117,780,558,918,21
492,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,85,126,790,572,941,25
670,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,287,1103,779,1421,31
660,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,165,682,477,869,22
780,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,257,751,515,1056,48
1898,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,2486,1374,983,4049,189
518,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,717,494,964,39
546,546,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1066,751,1319,40
758,758,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,715,503,1011,44
542,542,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,721,493,1099,30
892,892,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,757,512,1002,44
642,642,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,658,448,851,47
386,386,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,688,479,847,31
684,684,0,745,695,0,0,0,0,0,0,0,0,0,0,0,0,0,26,479,718,1298,50
536,536,0,536,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,455,814,32
570,570,0,570,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,519,981,42
744,744,0,744,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,1004,38
542,542,0,542,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,917,24
746,746,0,746,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,1289,35
602,602,0,602,602,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,899,28
516,516,0,516,516,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,795,24
850,850,0,850,850,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,927,50
576,576,0,576,576,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,22
820,820,0,820,820,29,21205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,42
432,432,0,432,432,9,11814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,21
552,552,0,552,552,11,73361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,22
596,596,0,596,596,12,271422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
820,820,0,820,820,13,197705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
658,658,0,658,658,30,201845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
