arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12923,12923,0,12728,12163,17,131474,81011,54956,27479,190,2209,20830,19971,74301,4645,556,188,357,4048,3071,5268,823
12892,13839,0,13910,13951,56,751487,445585,267370,87855,188,9136,52816,19217,75096,3073,157,42,105,2187,1814,2989,716
12006,12001,0,12055,12080,15,129186,79274,52656,37521,197,8456,52487,53099,375232,5759,893,276,382,3434,2690,4418,661
13519,13519,0,12923,13402,57,388568,251112,54564,27201,183,2225,20245,19296,74761,3020,142,46,340,2958,2352,4061,765
12667,12520,0,11667,12858,41,371764,224741,138878,127775,205,14139,49259,78013,325546,5426,692,148,308,3218,2589,3073,743
13117,13096,0,12903,12568,35,327803,76138,52171,26089,184,2123,19478,18853,73233,2810,86,17,381,3223,2529,4140,654
12524,12593,0,12797,13981,38,436039,273046,280943,157894,216,16689,53670,51242,204904,4152,175,70,127,2099,1734,2905,695
12529,12501,0,11729,11769,2,122735,76063,51571,26652,185,2163,19945,51397,217509,4317,547,301,669,4392,3479,4568,746
12893,12893,0,13599,14020,50,585468,237342,156002,93037,207,2150,19291,18768,74251,2994,122,26,94,2190,1796,3136,733
13495,12496,0,12133,11687,6,125849,394369,237946,134395,207,14437,110810,109531,456990,4162,733,297,465,4070,2513,4229,726
12838,12865,0,13199,13394,52,337968,211826,135286,77754,196,2272,21185,20148,76937,2986,202,33,131,2131,1758,4157,631
12394,12410,0,12547,12544,9,130739,264554,171129,96997,197,18143,94663,89768,360982,4280,519,195,327,2159,1779,2983,705
13383,12599,0,12763,12756,8,127682,79701,52849,26463,182,2172,20071,19115,75749,3090,500,178,354,3166,3438,6068,844
12338,12303,0,12898,13184,27,560188,362515,237408,144340,202,10214,62501,63161,72559,3017,169,62,110,2104,1735,3021,785
13338,13376,0,13503,12251,0,125168,77870,52019,25684,182,8684,50718,48451,198475,5211,647,252,390,3826,3057,5340,791
12463,12800,0,12141,12583,6,131443,82366,55027,26518,180,2131,19775,18687,216568,4118,392,137,387,3869,3038,5022,723
13522,13188,0,13159,13694,46,576951,347960,132396,74346,195,8156,19733,18982,73263,3008,224,82,142,2115,1756,2992,636
12158,12158,0,12383,12643,2,133962,82613,55290,82833,208,9733,59831,105000,443730,6175,835,166,310,3186,2474,2864,627
14513,14488,0,13529,13585,18,417845,75893,51164,25707,177,2089,19248,18518,72350,2848,107,52,237,2990,2467,4117,766
11642,11719,0,12181,12735,37,333626,208169,216247,126449,212,14721,52910,53555,227984,4407,149,48,105,2094,1729,2725,540
13359,13134,0,13133,12901,23,198075,84360,56495,27812,183,2139,19932,59485,235326,4137,433,254,435,3906,3048,4828,615
12874,12455,0,12502,12593,31,374722,371068,225681,128126,207,8148,49625,48890,200436,2983,169,55,110,2142,1778,3054,755
12361,11963,0,12383,12383,17,329202,209088,137129,80145,187,2123,59561,60872,263811,4572,895,331,520,4190,2546,4256,772
13547,13741,0,14450,14418,92,434251,269914,165317,90902,182,2154,19938,19178,74151,2993,127,50,70,2119,1749,3974,730
11986,12144,0,12040,12349,7,126797,207304,132377,74610,192,14115,79116,81243,349754,4323,429,161,300,2160,1796,2900,691
13384,12954,0,12968,13361,24,364646,234793,251527,153398,207,10887,63946,60361,236626,4811,448,134,292,2857,2843,4915,820
12590,12951,0,12418,12048,6,398405,240067,148157,82298,213,13995,78508,77428,190206,4262,437,165,206,2159,1763,2996,734
12405,12439,0,13108,12023,7,127697,79610,52543,27459,191,2241,20664,19959,78151,4573,608,198,373,4443,3344,5447,671
13279,13877,0,13848,13881,58,723598,471427,300080,99200,197,10175,57393,18811,72902,2792,142,55,90,2087,1719,2715,550
11467,11532,0,11643,11836,11,126869,78714,52473,26245,197,8138,49180,48277,331080,5407,793,281,320,3320,2673,4451,551
13284,13284,0,13309,12608,45,565029,365727,146718,86856,206,10405,63808,18969,72852,2873,188,67,111,3023,2391,3815,585
12737,12743,0,12716,12531,0,124681,77498,51647,82989,191,8537,49670,48016,329123,5030,618,130,255,3081,2477,4095,565
12893,12920,0,12196,12308,20,332976,174757,53222,26088,186,2165,20164,19407,75324,2912,131,39,315,3200,2446,4064,724
12363,12471,0,12775,13362,30,388649,251963,279907,172123,223,19003,59645,56535,223531,4349,190,64,125,2154,1754,2935,698
13514,12808,0,11947,12108,0,127462,78099,51977,26195,185,2163,19597,50018,205571,4096,438,245,471,4275,3375,4410,720
12706,13004,0,13469,13314,47,538390,215086,141056,82757,208,2265,20823,19334,75168,3014,131,26,82,2128,1757,2862,685
13145,13202,0,12897,12949,11,126768,79646,160273,88666,199,9083,86676,82649,331383,5188,478,245,452,3881,2352,4008,705
13060,12958,0,13080,12990,35,338138,211005,133591,76258,192,2130,19921,19226,74819,3082,224,55,170,2137,1732,4358,748
11922,11797,0,12413,12377,5,128745,245221,161540,97095,205,11918,108667,101929,407844,4490,520,169,323,2929,1761,2975,700
13873,13403,0,12756,12481,3,124574,77322,51527,25865,180,2139,19610,18830,73023,3073,412,153,298,2964,3163,5550,821
12274,12288,0,13139,13400,20,536329,334741,216248,130594,203,9169,56433,57435,74437,2963,142,65,123,2052,1721,2860,640
13090,13156,0,13242,13244,0,130424,78497,51980,25947,176,9811,55424,53131,213067,5261,658,250,397,3083,3020,4985,740
12652,13294,0,13108,13085,35,564469,345343,218262,77255,195,8399,50835,50643,76090,2928,182,69,115,2174,2644,4568,708
12588,12328,0,12303,12699,10,130250,81541,53649,26960,201,10669,64828,63372,250741,6085,755,265,266,3164,2454,4044,713
13501,14137,0,13937,12790,28,413971,248743,151861,26523,185,2227,20420,19381,75083,3035,155,62,90,2825,2281,3920,741
11984,12368,0,12454,12518,60,329520,205718,131248,116097,215,14669,85201,52190,221570,4642,533,100,97,2101,1740,2979,731
13149,13422,0,12899,13109,34,398145,259757,54022,26255,181,2154,19600,18893,218806,4298,520,206,457,3856,3010,5170,750
12603,12489,0,12597,13133,20,354282,214854,133510,123538,212,14138,49240,48342,199122,4312,500,67,144,2166,1798,2941,619
12803,12713,0,12143,11977,0,126407,79007,53781,26685,188,2191,20328,64785,270133,4482,506,183,522,4123,3120,3955,588
13368,13419,0,13422,14148,48,733305,260924,159801,87927,192,9074,19668,19124,74151,2892,207,50,150,2132,1784,2803,600
11525,11695,0,11831,12131,0,128702,80258,136247,76996,192,8509,53333,88090,380626,5692,561,218,387,3502,2638,2824,543
13294,13359,0,13327,13360,26,205709,82969,55060,27667,183,2137,19458,18994,73339,3072,188,171,311,2925,2350,4913,810
13004,12185,0,12825,12814,37,379217,379947,230704,130747,207,8358,80179,79399,330131,4217,461,197,286,3176,1781,2958,738
13189,12448,0,12708,12608,25,123889,78665,53345,26796,186,2157,20109,19441,75634,3067,524,224,281,3045,2350,5209,811
12837,12963,0,13430,13389,35,437576,463678,277522,155367,195,9319,53739,51637,206096,3034,162,80,90,2166,1788,2951,738
12501,11917,0,11834,11870,7,129372,80445,52752,26403,182,8434,51009,51527,216855,4338,770,333,504,3425,2780,4572,779
13099,12738,0,13194,13665,24,360593,231752,152546,90510,188,2180,19622,18564,72064,2901,184,66,126,2138,2355,3881,658
12873,12889,0,12310,12024,0,396549,239031,147028,81576,208,14018,77895,76832,188835,5353,662,272,332,3094,2484,4328,787
12532,13029,0,13124,12593,30,332720,207524,206601,73031,201,8417,53455,54266,229642,4710,201,78,75,3137,2454,3895,598
12760,12767,0,13116,13302,35,411551,267898,172751,97003,218,18008,94350,54954,219522,4469,486,182,110,2099,1764,3027,778
12550,12553,0,12621,11998,11,126283,77420,52629,26375,185,2172,20114,19636,206742,4533,475,195,312,4459,3491,6161,867
13314,13249,0,12823,12924,48,568177,367347,146272,86246,205,10336,62626,18368,70400,3035,160,62,103,2123,1754,3004,793
13048,12944,0,12762,11990,14,126299,78687,52508,86814,197,8937,52154,49926,336068,5195,648,152,395,3910,3084,5359,781
