mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
4791568,2608510,7237916,71612,10174,3408,0,0,243789,30,0,0,0,0,0,0,0,0,0,85500,6345446,152958,150641,420,82,0,0,21494,7867272,0
4813806,2619540,7268564,71708,10202,3431,0,0,231645,22,0,7,15,0,0,0,0,0,0,81541,4649905,149984,153878,315,22,0,0,20939,7934053,9
4810199,2878773,8071077,94234,10018,3426,0,0,251765,75,0,30,0,0,0,0,0,0,0,70216,4675112,149270,150541,277,67,0,0,21370,7909532,0
5337941,2860012,8828615,116144,10148,3459,0,0,242912,30,0,67,45,0,0,0,0,0,0,80327,4655321,156838,156582,233,22,0,0,20438,7869939,0
5385874,2884747,7302786,72008,10218,3444,0,0,251210,30,0,67,0,0,0,0,0,0,0,77263,4635760,151304,157676,307,45,0,0,21544,9849056,15
4782844,2609023,7252579,71865,10211,3431,0,0,226891,127,0,202,67,0,0,0,0,0,0,86374,5496907,160271,160433,0,0,0,0,21894,7888878,0
4820429,2626033,7291501,72037,10243,3445,15,0,248669,60,0,89,0,0,0,0,0,0,0,81305,4676697,155317,153811,397,37,0,0,22910,7928371,5
4818559,2623905,7272356,71778,10159,3432,7,0,241663,67,0,180,60,0,0,0,0,0,0,81149,4621541,152203,150728,368,30,0,0,20545,7953897,9
5343011,3126853,8837413,115670,10093,3450,22,0,252491,37,7,37,0,0,0,0,0,0,0,71805,4681055,148809,150794,262,30,0,0,20411,7872312,5
5957602,3157021,8099326,94228,10167,3449,0,0,233960,22,0,90,30,0,0,0,0,0,0,71991,4620680,151452,153614,248,0,0,0,20837,8918870,5
4805175,2615913,7291608,72168,10266,3477,7,0,234312,75,0,60,0,0,0,0,0,0,0,71957,4673114,152798,149767,150,52,0,0,20600,8048377,15
4801579,2626044,7304994,72292,10310,3444,0,0,255393,187,0,292,82,0,0,0,0,0,0,75182,5527121,159485,156993,232,29,0,0,19806,7887096,20
8088122,4349488,10623422,97059,10256,3453,37,7,252897,435,0,442,217,0,0,0,0,0,0,78081,4692271,156171,158769,300,112,0,0,22766,12551766,354
4813422,2621102,8066072,94177,10107,3438,22,0,260717,247,0,330,30,0,0,0,0,0,0,76498,4675426,155563,152782,360,67,0,0,21089,7934676,0
5939455,3138523,8852421,94114,10106,3414,0,0,243645,135,15,270,22,0,0,0,0,0,0,79632,4678577,154253,150977,337,59,0,0,21281,8900710,15
5364678,2612668,7252124,71729,10150,3438,0,0,241479,82,0,120,0,0,0,0,0,0,0,77766,4670095,147566,153110,337,0,0,0,19715,8938152,49
4798697,2616923,7262402,72110,10240,3453,0,0,239359,210,0,352,0,0,0,0,0,0,0,90056,6217417,157715,158694,735,22,0,0,20625,7906462,0
4800325,2611216,7246533,71798,10143,3430,0,0,235555,194,0,187,0,0,0,0,0,0,0,84291,4677252,154504,152597,630,52,0,0,20797,7939588,15
4765053,2597550,7204631,71319,10051,3401,0,0,255397,187,0,187,67,0,0,0,0,0,0,73028,4676708,150916,152358,539,60,0,0,21745,7879209,0
5389286,2879164,8890840,116708,10149,3449,0,0,218885,202,0,150,52,0,0,0,0,0,0,72449,4675581,153347,156015,255,0,0,0,22188,7932446,5
5361391,2874856,8068473,71856,10193,3449,0,0,228213,180,0,97,37,0,0,0,0,0,0,69833,4641204,152724,150767,97,67,0,0,21980,9837118,15
4820775,2622847,7272426,72044,10089,3408,0,0,239514,82,0,105,0,0,0,0,0,0,0,76669,5998814,154976,156348,480,0,0,0,22368,7959631,10
4807261,2612373,7250537,71833,10190,3453,0,0,233761,142,0,82,30,0,0,0,0,0,0,78053,4652269,150113,147615,247,45,0,0,21256,7930250,0
4782113,2609227,7240269,71830,10265,3453,0,0,248064,247,0,292,15,0,0,0,0,0,0,72954,4663095,154608,151840,375,7,0,0,21216,7937036,4
4812914,2880612,8055433,94146,9947,3393,0,0,242777,135,0,90,37,0,0,0,0,0,0,70955,4668641,153921,151232,45,0,0,0,19785,7959237,5
5903434,3110548,7935417,92184,10010,3390,0,0,232999,180,0,269,45,0,0,0,0,0,0,66946,4644275,154481,156712,337,15,0,0,20483,8903483,30
4791216,2607800,7239146,71595,10168,3416,0,0,231878,142,0,165,0,0,0,0,0,0,0,76808,4658608,158929,161826,427,0,0,0,22681,8871244,30
4808758,2617259,7254305,71805,10174,3438,7,0,227267,255,0,277,0,0,0,0,0,0,0,80497,5514065,157031,153506,465,15,0,0,22416,7958388,0
4768199,2596425,7252997,71718,10198,3439,0,0,225362,105,0,232,0,0,0,0,0,0,0,71448,4674493,151730,147727,405,22,0,0,21187,7869165,79
4797032,2612016,7258938,93918,10143,3437,30,0,237481,142,0,269,172,0,0,0,0,0,0,117774,4660027,154632,152527,232,7,0,0,22166,7953387,29
5326641,3118376,8812610,115952,10127,3449,0,0,242150,262,0,7,0,0,0,0,0,0,0,67813,4671022,150102,148239,658,120,0,0,22367,8840804,4
5342389,2861424,7237551,71680,10172,3453,0,0,242743,0,0,112,52,0,0,0,0,0,0,73036,4638148,153665,152591,292,30,0,0,22954,8905187,0
4798869,2611038,7240084,71585,10111,3417,0,0,234738,67,0,112,7,0,0,0,0,0,0,85987,5477218,156569,153119,300,67,0,0,22734,7946584,0
4753350,2590229,7202763,71416,10221,3468,0,0,245139,90,0,89,45,0,0,0,0,0,0,74640,4655942,150045,152085,165,0,0,0,21549,7897517,0
4802999,2616971,7244767,71694,10179,3431,0,0,249252,82,0,217,75,0,0,0,0,0,0,74006,4679240,152290,153988,67,0,0,0,21321,7916786,10
5372970,2867505,8034648,115764,9982,3414,15,0,243491,270,0,277,0,0,0,0,0,0,0,73390,4667476,150502,147007,443,0,0,0,23276,7959378,15
5948774,2883560,8091584,94675,10214,3460,0,0,247623,120,0,165,60,0,0,0,0,0,0,69727,4666535,157601,156683,458,52,0,0,21902,9901205,20
4777015,2600289,7212802,71483,10146,3424,0,0,240026,375,0,263,67,0,0,0,0,0,0,80879,6330854,163532,158696,772,97,0,0,22602,7871450,0
4798031,2604234,7258290,71684,10153,3452,0,0,241213,232,0,225,105,0,0,0,0,0,0,73264,4675432,152421,151642,165,60,0,0,21350,7896331,0
4757257,2596923,7217473,71384,10154,3407,0,0,237308,329,0,67,67,0,0,0,0,0,0,72078,4703478,150416,154402,0,44,0,0,22220,7827916,0
4788411,2815169,7993225,92419,10104,3456,7,0,240178,52,0,0,22,0,0,0,0,0,0,76104,4670674,154365,154636,555,30,0,0,22726,7898079,19
5920345,3136478,8083937,94241,10178,3446,0,0,228582,231,0,97,75,0,0,0,0,0,0,70456,5501953,156836,153134,82,0,0,0,21684,8877460,30
4779241,2600843,7225702,71498,10155,3453,0,0,245529,179,0,90,22,0,0,0,0,0,0,70021,5497883,158006,160217,143,30,0,0,22302,8869395,4
4800882,2618250,7266096,71859,10249,3454,0,0,233940,419,7,135,67,0,0,0,0,0,0,84241,5451340,160512,156657,270,0,0,0,21233,7900960,0
4782772,2602297,7238136,71826,10194,3431,0,0,239335,82,0,195,82,0,0,0,0,0,0,75755,4659502,158146,156669,329,0,0,0,23416,7854764,4
4813883,2615016,7271434,71949,10075,3414,7,0,243603,247,0,90,22,0,0,0,0,0,0,78537,4650876,157183,154269,90,0,0,0,21170,7923041,0
7765409,4791163,13359843,158031,10897,3586,0,0,256501,262,0,150,60,0,0,0,0,0,0,73015,4693982,152344,150558,405,22,0,0,22094,11117594,70
5384493,2884809,7278352,71812,10175,3421,0,0,225713,434,0,195,0,0,0,0,0,0,0,79539,4615220,157919,153025,451,0,0,0,21393,8944982,4
4799018,2623628,7278984,72085,10204,3428,0,0,254907,143,22,330,22,0,0,0,0,0,0,67874,5493647,163060,159474,417,0,0,0,22078,7880477,5
4818791,2622223,7260225,71613,10082,3416,0,0,229338,135,0,150,22,0,0,0,0,0,0,72680,4676614,153716,151724,938,180,0,0,21604,7904369,0
4797109,2613546,7252343,71651,10108,3391,0,0,249541,158,0,292,0,0,0,0,0,0,0,66920,4684976,154472,154549,591,0,0,0,21207,7884557,70
4787036,2870296,8043218,116534,10065,3452,0,0,226713,247,0,158,22,0,0,0,0,0,0,67105,4649588,156766,155868,290,0,0,0,22889,7852759,10
5887025,3069937,8059364,93977,10186,3453,0,0,250934,217,0,195,45,0,0,0,0,0,0,70064,4670053,153596,154665,96,30,0,0,21133,9811358,9
4801711,2612016,7239557,71724,10124,3438,0,0,238604,292,0,322,0,0,0,0,0,0,0,80092,6328355,161383,155970,439,7,0,0,21754,7890480,0
4800365,2616086,7250664,71660,10136,3420,0,0,242537,45,0,165,60,0,0,0,0,0,0,73322,4677814,155044,155565,201,37,0,0,20903,7896693,0
4798550,2614853,7258459,71899,10208,3453,0,0,247659,202,0,240,30,0,0,0,0,0,0,66145,4647687,156123,156754,148,22,0,0,22145,7861085,0
4795156,2607183,8032147,93606,9959,3405,0,0,231455,180,0,315,0,0,0,0,0,0,0,72992,4657429,158406,158787,307,0,0,0,21936,7922377,0
5944735,3145062,8885692,94260,10221,3446,0,0,234677,225,0,90,60,0,0,0,0,0,0,73923,4655161,156011,159238,521,0,0,0,21626,8926999,0
5361256,2865864,8025330,93469,10192,3455,0,0,236333,0,0,82,22,0,0,0,0,0,0,72988,5489073,164565,167162,231,0,0,0,21929,9900348,89
4799908,2615002,7252842,71743,10172,3438,0,0,239565,52,0,172,0,0,0,0,0,0,0,80443,4629606,153819,152285,454,90,0,0,22092,7904478,10
4824176,2624091,7275066,71918,10177,3432,0,0,251690,187,0,300,60,0,0,0,0,0,0,64092,4658456,154109,158153,111,0,0,0,23228,7955758,20
4775672,2599190,7232618,71580,10147,3445,0,0,236142,202,0,210,0,0,0,0,0,0,0,61850,4653683,152654,154537,365,0,0,0,21237,7914713,0
5338683,3121233,8816023,115888,10060,3427,0,0,233234,330,0,315,277,0,0,0,0,0,0,113222,4852102,150762,149350,461,30,0,0,20438,7879916,4
5358360,2875289,7275382,71895,10192,3453,0,0,238936,202,0,225,0,0,0,0,0,0,0,61533,4688299,156601,156090,372,0,0,0,21185,9842499,20
4798466,2609698,7247243,71948,10175,3439,0,0,233896,307,7,285,0,0,0,0,0,0,0,80253,5505577,154259,153282,283,29,0,0,22372,7890482,5
4798241,2611162,7261322,71885,10187,3430,0,0,249176,165,0,225,15,0,0,0,0,0,0,75424,4659251,154510,156066,493,0,0,0,21624,7888018,0
4815769,2618460,7266125,71943,10158,3439,0,0,264195,255,0,195,60,0,0,0,0,0,0,67988,4650904,157581,159244,320,0,0,0,21952,7952868,0
4796634,2877086,8067718,116620,10094,3439,7,0,259923,0,0,37,0,0,0,0,0,0,0,81846,4635608,159318,157596,439,0,0,0,21295,7918714,0
5922876,3132968,8084769,94405,10195,3437,0,0,236697,322,0,240,0,0,0,0,0,0,0,86062,4623563,159502,157892,350,0,0,0,19946,9871518,65
4789829,2605587,7264264,71884,10195,3438,0,0,244092,247,0,300,0,0,0,0,0,0,0,77396,5483280,165727,162849,371,0,0,0,20100,7846807,0
4799934,2611790,7250120,71683,10134,3416,0,0,239272,217,0,202,67,0,0,0,0,0,0,67972,4660818,156300,155912,528,59,0,0,19678,7970647,0
4809502,2610119,7251619,71636,10207,3453,0,0,249074,0,0,195,52,0,0,0,0,0,0,79927,4637263,153446,154360,254,74,0,0,21461,7947240,0
4798212,2609756,7242839,93719,10089,3403,0,0,238315,75,0,82,7,0,0,0,0,0,0,62902,4672660,152079,149568,238,29,0,0,18468,7959631,0
5908961,3125686,8853902,116197,10118,3403,0,0,223556,187,0,157,0,0,0,0,0,0,0,66290,4678218,153898,152042,178,0,0,0,19348,8915267,4
5365833,2612456,7261144,71748,10153,3452,0,0,242106,330,0,225,37,0,0,0,0,0,0,74437,5461613,154741,156104,322,29,0,0,20751,8870755,0
4831180,2633753,7308986,72130,10233,3454,0,0,240020,7,0,37,45,0,0,0,0,0,0,75674,5515688,151284,148198,104,0,0,0,18539,7990593,0
4797051,2607122,7238318,71591,10109,3412,0,0,238902,67,0,142,60,0,0,0,0,0,0,65724,4671873,150162,154640,643,97,0,0,19533,7927168,14
4796866,2616867,7263423,71870,10129,3428,0,0,247821,0,0,0,0,0,0,0,0,0,0,71579,4663140,151238,153394,411,74,0,0,19736,7897438,0
5359291,2882852,8863688,116423,10032,3400,0,0,244282,329,0,15,15,0,0,0,0,0,0,69935,4661390,155925,157115,193,22,0,0,19517,7914499,0
7568034,4119204,12207135,131588,13814,8542,368,30,456771,3834,0,149,465,435,0,0,0,0,0,102930,10536779,173654,178337,1045,134,67,0,20159,10088902,65
16753005,7800701,23908157,570095,1331,2257,444,15,359078,180,0,277,97,545,0,0,0,0,0,127720,18302179,194081,187718,1714,513,468,0,15899,25186464,65027
17095720,7809813,23733658,562532,1337,2353,218,15,384526,149,0,300,187,488,0,0,0,0,0,127680,17021994,196203,205274,1268,244,602,0,20019,24816548,63991
16829040,7833830,24038990,575490,1340,2405,593,7,400147,195,0,247,247,488,0,0,0,0,0,125349,16553367,192365,191570,1239,246,521,0,14006,25305049,63376
16883222,8111623,24914595,607056,1354,2378,338,22,388113,157,0,0,165,577,0,0,0,0,0,127813,16612517,192373,194475,869,281,490,0,18009,25217761,63329
18083127,8381914,24990354,593031,1334,2377,690,22,396026,180,0,293,165,547,0,0,0,0,0,125777,16580159,191010,190034,1309,313,492,0,15150,27476762,62845
18046835,8417768,25764379,614135,1335,2386,270,0,387031,233,0,202,187,496,0,0,0,0,0,127550,17562860,200721,198305,1317,431,483,0,20022,26424147,68089
16841705,7848013,24005273,575319,1336,2374,225,7,378281,180,0,337,420,479,0,0,0,0,0,130355,17807628,202082,207849,1093,357,550,0,20366,25320207,62596
16895761,7861853,24093379,572048,1326,2327,308,0,382141,339,0,775,593,300,0,0,0,0,0,76010,9271689,109358,113630,1253,484,433,0,19729,25350215,62721
206989,111461,308751,25317,210,127,495,7,42255,157,0,232,1066,0,0,0,0,0,0,12966,177217,18499,18143,1080,744,0,0,615,302047,110
9146923,4527773,15840169,440562,1496,2604,436,7,395326,104,7,0,210,480,0,0,0,0,0,125851,16638474,194658,192248,1824,946,297,0,10598,13865230,31115
17523155,7860112,24841005,593687,1621,2614,262,0,399778,142,0,194,187,479,0,0,0,0,0,123061,17296791,192174,193446,1809,633,478,0,20735,26332689,62329
18713369,8586563,25122072,589493,1344,2432,398,15,391654,150,0,255,187,495,0,0,0,0,0,127056,17428939,191604,190902,1509,365,552,0,22130,28670902,73113
17446429,8099343,23994063,572639,1528,2495,246,7,425988,246,0,134,142,479,0,0,0,0,0,130662,16739697,194372,192376,1162,270,502,0,20551,26385975,62237
17514913,8136005,24974953,594495,1336,2351,477,14,406420,312,0,261,367,493,0,0,0,0,0,128760,16731582,201310,199501,1190,247,488,0,18498,25455161,62527
18031003,8270664,25082209,597677,1334,2414,405,7,385933,217,0,195,293,486,0,0,0,0,0,124715,17533671,204013,214140,1529,501,478,0,17153,27356953,67850
17072522,8184351,24361569,571885,1325,2406,337,30,382702,165,0,270,300,495,0,0,0,0,0,129193,18246687,202447,213482,1368,247,600,0,16305,26948272,67633
16922893,7868843,24951353,610529,1479,2515,367,30,398369,307,0,419,323,496,0,0,0,0,0,130458,16739620,198223,195639,1390,157,488,0,19356,25368800,62394
16922334,7882841,24213392,573050,1334,2418,607,14,388640,15,0,7,105,487,0,0,0,0,0,129922,17479454,205559,210929,1436,248,539,0,14207,25845094,62295
