mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
4762299,2593703,7165919,70964,10036,3372,0,0,223944,158,0,247,0,0,0,0,0,0,0,70882,4648524,122958,129088,368,0,0,0,20164,7819796,10
4778392,2600607,7200156,71486,10035,3401,30,0,237375,315,0,292,67,0,0,0,0,0,0,70853,4684964,126486,129538,330,44,0,0,19242,7864940,5
5319676,2852575,8808843,116039,9975,3389,0,0,223149,142,0,157,0,0,0,0,0,0,0,66323,4645775,125278,130413,563,7,0,0,20154,7829874,45
5288625,2834045,7951104,70857,10044,3387,0,0,231551,195,0,285,7,0,0,0,0,0,0,79992,4600392,126368,127913,471,0,0,0,19541,9747672,35
4775969,2603869,7221982,71304,10040,3372,0,0,223502,22,0,45,0,0,0,0,0,0,0,78257,5432853,137045,138284,472,45,0,0,19023,7882054,0
4754078,2591188,7206787,71140,10101,3395,0,0,229348,277,0,217,14,0,0,0,0,0,0,63916,4646290,125442,130137,180,37,0,0,18243,7827106,0
4735647,2573458,7129784,70728,10035,3393,7,0,222357,82,0,89,0,0,0,0,0,0,0,64538,4598637,119713,126057,292,60,0,0,18920,7775966,30
5266551,3105075,8765492,114858,9841,3391,45,0,215020,254,0,209,0,0,0,0,0,0,0,70335,4597002,125898,129433,534,0,0,0,18858,7767757,0
5872679,3102364,8000035,93491,10109,3391,0,0,208165,112,0,255,0,0,0,0,0,0,0,73717,4658884,124697,127319,427,0,0,0,20015,8806376,5
4751961,2603605,7220253,71376,10133,3400,0,0,232522,22,0,37,14,0,0,0,0,0,0,70949,4631528,131092,135807,735,165,0,0,18728,8847735,30
4707545,2566056,7130430,70487,9997,3386,0,0,225728,82,0,135,44,0,0,0,0,0,0,79483,5401118,128614,129136,323,52,0,0,19096,7822278,29
7545004,4433643,11940987,112663,10724,3431,7,0,217645,180,0,15,30,0,0,0,0,0,0,62591,4612886,126475,132274,82,30,0,0,18816,11192804,300
4728530,2571033,7135010,93086,9880,3340,188,7,223603,180,0,67,0,0,0,0,0,0,0,67997,4633704,124257,127739,180,52,0,0,19829,7804502,0
5261257,3079952,8712120,114898,10061,3407,0,0,222617,299,0,217,0,0,0,0,0,0,0,66623,4619293,127167,128378,390,15,0,0,18149,8727728,9
5289759,2837600,7177827,70809,10021,3372,0,0,225748,142,0,127,22,0,0,0,0,0,0,65938,4675153,125843,130700,330,120,0,0,19562,8786853,0
4779098,2610386,7250340,71349,10090,3393,0,0,221412,22,0,89,37,0,0,0,0,0,0,69778,5501306,131821,128537,488,82,0,0,19813,7865257,30
4738818,2569726,7133861,70762,9984,3408,0,0,225072,180,0,180,30,0,0,0,0,0,0,61725,4633966,122119,125804,337,7,0,0,19813,7791142,9
4757250,2584045,7166623,70807,10051,3393,30,0,239260,37,0,82,22,0,0,0,0,0,0,71146,4637548,128104,130764,37,0,0,0,20507,7833833,0
5335139,2860348,8024198,115695,9961,3392,7,0,216355,270,0,105,52,0,0,0,0,0,0,70407,4624658,124637,125339,195,30,0,0,20412,7852645,0
5332448,2863242,7968407,70658,10021,3380,0,0,222637,105,0,90,14,0,0,0,0,0,0,65064,4653744,125050,128429,164,22,0,0,19610,9865937,20
4744537,2587672,7179638,70912,10054,3391,0,0,220461,224,0,37,29,0,0,0,0,0,0,68562,6346664,128175,133585,225,60,0,0,20096,7816570,0
4702599,2561050,7132857,70566,10084,3412,0,0,226009,239,0,112,22,0,0,0,0,0,0,66849,4632673,127406,130511,127,29,0,0,20100,7754310,0
4773164,2602539,7205204,70949,9962,3362,29,7,231083,195,7,104,60,0,0,0,0,0,0,66256,4636463,126966,127685,270,29,0,0,19395,7855311,5
4770619,2848385,8002590,93522,9982,3435,30,7,231392,240,0,187,7,0,0,0,0,0,0,71692,4633742,128917,129331,801,90,0,0,20168,7877692,0
5876672,3113425,7961358,92906,10022,3367,7,0,231173,225,0,187,29,0,0,0,0,0,0,74083,4649362,127678,129632,531,37,0,0,18956,8863233,45
4764579,2588740,7178072,71167,10077,3399,0,0,215332,164,0,271,0,0,0,0,0,0,0,62673,4603250,126758,127577,389,0,0,0,18994,8799707,15
4739768,2590849,7171508,70856,10019,3378,0,0,218400,217,0,120,75,7,0,0,0,0,0,69295,5474338,125687,126056,211,74,0,0,20913,7818760,0
4753223,2584947,7191392,70968,10056,3422,0,0,215094,262,0,285,52,0,0,0,0,0,0,67179,4600930,123677,127307,429,0,0,0,19528,7866221,5
4760520,2590836,7734459,97065,12092,7041,67,0,610491,18325,0,1070,44,0,0,0,0,0,0,62027,4633184,127640,130787,119,7,0,0,17983,7851255,5
5845188,3094809,8767036,93048,9983,3365,0,0,215585,323,0,232,30,0,0,0,0,0,0,68817,4599617,127770,128938,82,0,0,0,19093,8775895,4
