mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
4792547,2616788,7259673,93611,10147,3439,7,0,265092,292,0,232,105,0,0,0,0,0,0,81258,4683780,153035,155534,298,22,0,0,20015,7895435,10
5912421,3130881,8855198,116175,10244,3454,0,0,257520,187,0,202,0,0,0,0,0,0,0,86928,4648088,156675,157670,469,0,0,0,21229,8874721,74
5345782,2607359,7246719,71910,10206,3475,0,0,268111,240,0,52,15,0,0,0,0,0,0,86251,5467325,160092,160344,350,0,0,0,18268,8849936,10
4807625,2610426,7256089,71957,10151,3427,0,0,256135,180,0,195,0,0,0,0,0,0,0,88632,5467643,154166,156717,581,0,0,0,19968,7912358,29
4788392,2606086,7263311,71963,10163,3430,0,0,247896,270,0,239,0,0,0,0,0,0,0,91970,4657674,151892,155150,454,7,0,0,21880,7871761,30
4776435,2607128,7242018,71879,10239,3422,0,0,274107,195,0,150,0,0,0,0,0,0,0,83999,4649325,150594,151743,186,0,0,0,20805,7848489,45
5356381,2863763,8824282,115573,10106,3430,0,0,264872,202,0,225,30,0,0,0,0,0,0,86631,4618342,154026,158287,119,0,0,0,22641,7910708,50
5935505,2876634,8067675,71726,10134,3416,0,0,259966,142,0,195,45,0,0,0,0,0,0,94537,4616960,147993,154544,566,0,0,0,20190,9887679,15
4777018,2607436,7241897,71495,10110,3402,0,0,262055,112,0,15,7,0,0,0,0,0,0,85643,6320460,155011,162961,201,0,0,0,19634,7890994,24
4797672,2610654,7258659,71873,10173,3430,0,0,265684,232,0,353,0,0,0,0,0,0,0,82688,4614648,150966,156985,380,0,0,0,19286,7893340,0
4780879,2611066,7242475,71720,10180,3430,142,7,266765,127,0,37,30,0,0,0,0,0,0,87896,4626175,155612,160912,164,0,0,0,17057,7828276,0
4775930,2607308,8043464,93997,10044,3437,52,0,262414,307,0,187,0,0,0,0,0,0,0,85615,4603927,151049,154163,774,0,0,0,18436,7835032,5
5898607,3125144,8836235,94151,10187,3430,30,0,250643,202,0,203,7,0,0,0,0,0,0,84864,4634651,149800,155378,439,44,0,0,17750,8824504,0
4779999,2605118,7250972,71688,10202,3437,0,0,260641,52,0,7,0,0,0,0,0,0,0,85375,5473645,155755,162650,67,22,0,0,15941,8876163,0
8038608,4234796,10458523,96043,10130,3413,0,0,269654,210,0,30,7,0,0,0,0,0,0,86931,5451786,152265,157879,551,81,0,0,20341,12419325,175
