cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14310653,1296945,20758706,13702062,3780136,76830717,7362545,8083904,9013,441708,10599496,25272023
14437475,1283226,20932259,13681725,3775554,76503177,7161176,8062831,10891,424005,10737263,26489570
14340385,1338344,20961163,13630622,3666447,76970869,7345648,8076730,11030,459316,10709511,25828906
16742259,4730045,23920190,15931153,4166031,80475656,7743282,8581711,572136,1164796,12938515,29492662
14575670,1423457,21120168,13923622,3888197,76750147,7359703,8276271,125898,513287,11087342,26493580
14417554,1574563,21111375,13807152,3658031,76589632,7321192,8043785,166661,592486,10899769,25693427
14666259,1451089,21228453,13954306,3774984,77471994,7349327,7864637,81671,524483,10679605,25845509
14660795,1501127,21061081,13918372,3771936,77281818,7144425,8051337,126905,560742,10927142,26433045
14458690,1452717,21193008,13909624,3787606,76920170,7362735,8085224,125327,533387,10712814,25878655
14489071,1399983,20984499,13677624,3664730,76442827,7333940,7861426,79598,493283,10844630,26429670
14812817,1515100,21273560,14000930,3879656,77109076,7346891,8254863,168898,573709,10949657,26456345
14360692,1406789,21009193,13730745,3767018,76886624,7327438,8038087,56867,496603,10611731,25810906
14551518,1461881,21092053,13737012,3666823,76931462,7141876,7834687,95056,523276,10805604,26353044
14504449,1313846,20981053,13888281,3784570,77775029,7362264,8072835,20433,457340,10577084,25266602
14798420,1447475,21381253,13997970,3873548,77642014,7359905,8237168,81933,512908,10886232,26534798
14565256,1298445,21284357,13778614,3779203,77569122,7360063,8060082,14881,436864,10743357,26495464
14545973,1331848,21049948,13883694,3885537,77624043,7546009,8268534,21246,473468,10593012,25175864
14499699,1276931,21013639,13737490,3780836,77183042,7157223,8053681,12563,434513,10753168,26438584
14388567,1284475,21033389,13677135,3681607,77372327,7370100,8081596,12183,435613,10780107,25873549
14507960,1243273,21020629,13730091,3771370,77298342,7351286,7854731,17132,427967,10489595,25776599
16375107,4449084,23874781,15900710,4371012,83598508,8355339,9127321,482094,939559,12025252,29360762
14384850,1435987,21039980,13679753,3676079,76915689,7348476,8045048,102533,517625,10794149,25812783
14525478,1482038,21021595,13744270,3773743,76624062,7351779,7863229,125155,546784,10619650,25811588
14627019,1571904,20964281,13796696,3778798,76694654,7161758,8049954,168341,594241,10926974,26516252
14563695,1649359,21270678,13965910,3787157,77484128,7358030,8065634,170842,623058,10803114,25888241
14482248,1463705,20990344,13732544,3660955,76775336,7321958,7822523,84466,518991,10780344,26296289
14652333,1565526,21215260,13949601,3880734,77477089,7371726,8160509,155733,592084,10934284,26434971
14415287,1378984,21080089,13799439,3769610,77320005,7338360,8050925,31326,486143,10596828,25795600
14678192,1519484,21238795,13937634,3670287,77559320,7339086,7836832,88166,548255,10868327,26466581
14438648,1476313,20945612,13782827,3776807,77261764,7344982,8053734,102494,531511,10630321,25769110
14673049,1395116,21024298,13776935,3880872,77408904,7327718,8025911,46176,489014,10815329,27058436
14571764,1598807,21090389,13934145,3784025,76757573,7546278,8255114,167441,606509,11090609,26499223
14504835,1412844,21134534,13853750,3690040,77835940,7311554,8005374,81251,517617,10590543,25734471
14608794,1510500,21148558,13887701,3767744,77664428,7150322,7831734,90872,548116,10650019,26403916
14530164,1423361,21050962,13940382,3677881,77912896,7358668,8053270,53751,508197,10845123,25854988
14388240,1384215,21063228,13765427,3778740,77449093,7350643,8057661,16646,472219,10539160,25827647
14602981,1399306,21138092,13711032,3773893,77222063,7332913,8045801,15588,471456,10755587,26399719
15240926,2716039,22600367,15212517,4152197,82254432,8170177,9127125,889798,1376201,12931471,27193467
14552116,1591428,21289335,13956867,3794499,77634158,7393374,8086704,161970,594520,10961763,25968871
14484422,1503663,20975073,13644367,3666328,76611383,7136735,7844167,92552,526061,10833294,26400002
14447910,1443182,20949271,13814170,3791380,77305922,7371967,8072039,97411,519991,10626424,25254946
14539125,1285657,21060522,13743400,3776315,77171343,7158786,8059909,14234,447951,10802145,26514661
14568695,1361503,21276424,13751088,3770509,77351029,7524972,8039972,24959,475844,11005082,26486039
14513544,1246875,20851042,13645967,3783162,77064033,7364500,8061193,18671,425830,10504865,25866509
14545725,1353774,21058090,13789126,3780012,77417237,7154912,8050623,9887,467673,10579647,26444007
14458324,1231452,21124288,13757994,3679910,77465266,7345352,8054551,15308,424539,10688632,25879375
14595096,1300270,21168537,13857825,3785715,77671271,7354465,7869779,26291,444355,10572849,25844582
14903102,1417588,21385978,13953553,4009731,77937503,7584134,8297281,58549,503740,11083013,27834336
14516806,1448747,21246352,13931127,3676425,77901164,7378640,8067132,89407,531311,10895322,25843635
14385005,1390393,20998266,13731482,3765220,76960960,7340151,7843461,70646,500151,10612715,25809013
14560377,1304104,20862799,13657802,3781416,77427604,7174493,7868100,28533,471586,10818153,26561048
14380669,1291010,21006150,13753965,3779829,77483019,7354567,8069823,12994,438975,10546685,25883261
14493865,1277935,21189829,13781231,3776220,77227462,7549804,8072852,10081,445949,10771151,26441831
17756967,6568834,25820738,17084562,4606852,84270849,8750150,9608344,1069350,1555799,13880732,31140480
23271125,6976116,33447374,18156969,13191982,49134746,22483068,23576960,963810,1475615,27051067,67645856
23372558,7187023,33797873,18020723,13436973,50159203,23290244,24759566,968389,1410708,27115457,68254844
23300185,6663527,34059777,18061052,13556164,50866836,23501368,24959748,819969,1295244,27389406,68553720
23540341,6198134,34030602,18143936,13656479,51031407,23387493,25013221,768260,1218949,27333936,68771093
23759324,6231167,33975045,18166484,13574791,50945836,23713324,25084082,768158,1256119,27961739,69999934
23680916,6017235,34079093,18086569,13562986,50902589,23519463,24910220,769586,1220408,27681078,70033750
23799495,6529747,34307779,18279697,13759822,51102430,23471029,24729015,785657,1256222,27555297,69408452
23462697,6457376,33898205,18393454,13829763,51329722,23931663,25275997,783340,1256826,28142575,69471388
9523963,2683444,12843433,6568633,4762513,19570468,8302477,8724825,307508,499922,10640844,29208435
7465801,2413149,11956559,6644575,4723867,20473954,8448684,8662978,355842,535679,8317081,19763884
24029333,6362059,34836685,18582807,13971487,51395415,24045996,25475024,789872,1262275,28224827,71034641
24367326,7294816,35436260,18816669,14239800,52633464,24515340,25852241,840062,1315937,28407525,71697102
24161917,6668986,34986826,18411879,13886886,51872882,24254825,25340941,780320,1255697,28215739,71649865
24099912,6537233,34763859,18420906,13997210,51596823,24241494,25554570,762727,1246840,27965815,70954182
24630183,6440044,35532375,18723215,14140050,52095474,24596386,26072492,772786,1253544,28650956,73388849
24512979,6343652,35176891,18668350,14141280,52481390,24434056,25584219,772783,1253517,28580932,72792217
23642833,6611166,34681260,18378152,13738944,50882588,23786210,25043160,749215,1219652,27346357,69295059
24557475,6677992,34989038,18581760,14213000,52246384,24418612,25918907,804264,1283924,28516578,72981370
23906991,6900937,34986336,18467311,13892705,51561912,24242994,25538655,765003,1232742,28122105,70874176
24180703,6580747,34737503,18383572,14005657,51790763,24284619,25351483,768253,1248697,28180007,71798308
24021124,6550127,34804644,18513383,13947917,51588439,23976813,25331559,777108,1241090,27799802,71068216
24096139,6444239,34895272,18720649,14129457,51764966,24421982,25779783,765928,1240746,28120619,70625012
24179369,6436125,34920936,18538376,13870414,51012720,24230959,25558772,771654,1236780,28183932,71730934
23968199,6552660,35098666,18555598,13979571,51613072,24413421,25714843,773163,1257809,28150108,71016375
3734755,908243,4621910,2178132,1350448,7289327,2367490,2494950,135220,233539,4285456,11372648
5047263,1597840,7319722,5301514,1867384,15879919,3161491,3219353,413385,532500,4239551,9816551
25165693,5008856,36826418,27437319,6875363,66660842,12923199,14155982,1020620,1468911,20240094,40771277
22960222,2030571,33184283,25066318,5858873,45367701,11284068,12695750,221128,588999,18085888,36246022
23022175,1867225,33508175,25180315,5959469,45348994,11288479,12599807,148510,517322,17749774,36273225
11792561,1280774,17794545,13575181,3288513,25512723,6002812,6500808,181899,375144,9086300,18728558
780186,367273,1068026,801742,313803,2524242,803150,830564,128672,132389,837805,2058124
807052,461695,1108880,700435,310988,2562670,604197,422520,99259,151791,603147,1398774
1697374,1463728,2423432,1692328,509253,4254873,692494,1123646,419982,475170,1724182,3677529
5477326,830551,6741724,4547143,1165985,8882597,1951803,2349111,170253,254427,4355864,10034723
23689015,2137694,34167475,25791232,5828961,50097590,11184096,12378655,308068,712235,18373553,36815155
23594592,1883339,33839534,25475854,6025155,49450010,11208117,12829084,170388,574331,18109606,36755244
3824239,912131,5417815,3988736,1049605,8257926,1709171,1671642,222286,292168,2200202,5470629
20452987,2007224,30972900,23415707,5488374,41533272,10182653,11238725,293778,587887,15609591,31842146
22633485,1800804,32670718,24606073,5735419,43902813,11047777,12246630,143576,502030,17551855,36208649
22395458,1895933,32366677,24410378,5836635,43901607,11051544,12430486,203482,551963,17326813,35550662
22452737,1812901,32501845,24497367,5812920,44003614,10825202,12222024,162779,519242,17302480,35889596
22636184,1900315,32972854,24717087,5869568,44087513,11316354,12511725,197704,554852,17830781,36236822
