cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
575675,199537,792851,511676,290303,1978992,605479,635788,9828,43676,578037,1331346
813878,249556,1108002,719672,291400,2082814,418112,435073,33198,48984,589977,1934619
572587,182901,946822,694213,195306,1857175,598896,624598,21255,54662,865209,1314216
805884,250557,1112288,724320,387025,2398951,800576,640734,33645,76619,889645,1924232
811531,247550,1108153,725794,292594,2149270,423168,442610,27842,53365,595137,1936246
575462,188362,800148,715490,197851,1859342,604036,631163,32268,62608,892358,1309012
575789,225904,1090234,703421,291747,2066271,609637,636237,16353,45118,591276,1318853
807647,256791,1101202,517281,197837,2103701,417594,436327,33560,65001,887210,1929277
554135,178551,778961,702990,282932,2113609,588423,612807,33305,58668,592399,922214
780504,218697,1352478,695269,290333,2237059,792510,826206,14319,39814,1160575,1910525
817115,274887,1116564,729189,290402,2124985,418406,437243,44105,67681,595669,1928114
799292,235809,1088638,702367,200641,2230841,780389,815427,39911,79422,1179054,1872629
606062,281937,1112980,722254,291531,2097190,606358,636006,21504,44568,604316,1329516
804490,224406,1094525,525546,202209,2140065,420013,435740,15189,50280,884951,1944536
892033,403109,1225591,1007425,296178,2328851,809026,844400,110486,133705,972708,1443964
585376,253488,1102434,719688,295140,2127452,616213,643847,20263,47403,602286,1339433
792592,221872,1080496,523784,199397,2041095,414717,437421,18242,53566,887876,1926518
595619,217149,820463,710321,296230,2131573,614101,640503,37170,70167,578146,714407
795458,226653,1095158,695640,301920,1884788,431509,656565,15136,42310,886248,1965307
785946,234493,1378719,714803,297134,2321169,800367,644525,31626,75024,1191282,1927652
614794,211407,833303,705917,286742,2117248,602317,631064,35602,69634,578095,780421
798952,226067,1085593,700446,201099,1898537,610749,435526,23213,54109,885370,1946490
568425,224775,812385,530808,290621,2120660,605056,632300,37068,69993,580517,1304003
802674,248163,1096739,716363,292536,2112048,417911,436595,24926,42186,582511,1918363
784136,215940,1072001,886445,291252,2084928,792439,828112,37076,61894,1174801,1906209
568958,251108,1099091,538564,199700,2094645,606422,635300,30855,61688,578000,1309122
774854,229373,1049397,678187,282852,2067466,399218,414978,21797,49780,592102,1737763
801511,253291,1100394,914101,286046,2270331,607691,636778,49450,81486,1170499,1879259
592454,249735,1102634,720019,294031,2131141,613851,641688,37206,61370,627145,1332385
810463,275041,1107084,520242,197829,2118745,418179,436876,36606,70679,895240,1934009
791053,219228,1086713,889092,386682,2146743,610162,831794,25405,61054,875983,1320828
595968,221818,1118284,725348,297961,2238026,619104,450687,18328,51414,588604,1349907
782097,184604,776072,507230,283846,1963747,418315,533594,38807,73256,876610,1865477
579085,188885,1081676,701404,293256,2100446,607709,636295,23410,46349,586808,1326538
832970,251451,1135936,734419,204110,1947846,615488,447584,28435,61249,903814,1979865
812601,235063,1089854,702985,384451,2359365,604740,631994,31681,67699,892191,1920781
590603,188636,835810,722536,297755,2178259,620541,646865,15863,41771,585909,1354992
870641,263591,1189013,777534,208744,2130043,626765,657460,39432,68803,942129,2023255
611581,214463,1049027,563746,234189,2212907,621547,649036,24402,56003,615160,1379980
875399,406483,1199787,814502,292920,2222500,419848,436034,99227,120036,682121,1944540
836560,259728,1153925,930350,298244,2328641,810672,847872,17837,48468,1199325,1963993
805646,198879,829196,722644,388207,2374988,799273,836858,22720,62257,885532,1345348
846580,240217,1158233,760127,299996,2076793,439835,655568,36720,63689,629140,1996106
604354,193470,1130251,735796,206312,2000442,621590,646890,21894,56591,905421,1376520
910696,302246,1432223,940443,382928,2653413,794264,634389,24877,57395,611708,1944648
859559,224682,880764,578442,301036,2124935,439548,657388,38350,72230,921066,2014150
850146,248774,1454964,940568,309964,2302447,840595,878849,26634,49534,915449,2050793
683981,464273,1346054,901360,319703,2906111,668574,492153,98985,136895,650062,1494946
891388,206443,936002,607355,314986,2573984,459310,476943,28215,66537,941056,2116419
685151,216572,951103,810505,314083,2565543,658053,687679,32030,46948,629092,1501191
873535,237047,1210576,790067,217380,2287558,647214,676911,17653,47497,924416,2055468
907946,253133,1214094,949357,396393,2498983,637050,861910,30342,70625,908355,1506998
656504,167083,1215888,791343,307668,2482558,643963,674728,29287,57675,939915,1466560
885118,228493,1216353,607074,218105,2494065,648667,479878,20947,54945,926062,2070988
898166,215492,948425,624012,310261,2595391,650963,680236,39726,78551,644427,1460450
874368,218697,1197749,776109,309038,2254706,460403,675340,9803,36692,619194,2062091
900111,275447,1522756,1001959,308233,2473299,832601,673882,44132,89366,1247946,2058687
826932,210256,904707,595339,300372,2518807,624037,654082,33091,69082,642209,1468992
864357,214683,1189848,768584,307059,2211854,454511,671040,18470,42726,620010,2055961
653500,220549,1206982,798063,212805,2219964,641252,669881,36945,71310,933833,1430934
663204,260855,1204226,785295,304583,2408353,637369,467891,18107,59066,637821,1455074
666035,218198,1218957,987300,388402,2517888,625608,850077,45929,82480,1221674,1461452
877279,251176,1499385,787160,305234,2683482,826088,860775,42882,75747,1233123,2039170
846370,209588,1155240,739662,299095,2398607,537237,468626,21653,55683,601523,1413154
734640,343767,1017963,879937,306568,2282707,455547,674873,91923,121295,1017058,1493442
635655,175613,1172143,759106,303651,2379290,637269,666550,6753,33205,904438,1423656
872301,254732,1196155,605394,210593,2411547,635308,467905,28796,70349,935599,2036384
1074642,236954,1187376,762987,394077,2365947,637127,860356,19607,60895,915431,2038893
658492,227078,1197330,786769,303094,2413167,633388,660814,35404,38052,615445,1438544
869497,237616,1198872,735312,211845,2341963,635936,470595,19673,64842,931425,2025904
863749,189067,908924,593379,302316,2371418,640342,669945,17541,51966,631625,1439375
880131,247830,1198195,785992,304243,2197705,448299,664965,34538,42438,612077,2047928
847526,251542,1453944,772645,302348,2566804,635213,665272,20294,60749,907802,2028657
660402,226042,928802,806924,301536,2388271,634621,662103,44609,77752,627512,824556
874159,242876,1196848,785560,302507,2149314,444231,659917,19475,48982,929416,2038741
638046,198341,1173808,584970,209100,2322912,633591,663709,10679,47116,876099,1414872
855536,221445,1174158,781446,302377,2395079,446525,465393,30868,63551,616815,1419142
921951,367162,1258883,829119,301859,2478996,621378,844003,79653,116958,1267132,2010038
871071,269661,1495955,801394,306603,2610571,826992,866841,41150,81370,1250624,2030273
873865,240180,1202329,779807,312454,2389115,655010,480309,10936,48920,631470,1465286
867863,176565,895865,584972,312083,2211815,457571,685170,29407,60749,930363,2096033
659250,197023,1213775,788808,314840,2414255,664628,694072,17163,47835,662073,1488114
862760,186545,940322,584063,291140,2457550,439361,457721,29011,62572,910831,2063486
874028,234774,1200541,971295,310225,2471397,837035,875684,27550,60157,912017,2086222
646504,227524,1198398,775733,310353,2394952,649920,679227,24331,50918,639189,1467072
895385,264398,1219244,593158,215001,2473094,456373,475330,32055,67994,945377,2072922
655514,183720,911842,772186,307926,2471870,642787,671589,12841,47195,615190,843453
888837,251811,1225296,809506,308799,2237268,455060,669806,34582,59239,936199,2073865
896904,295350,1479311,785744,299504,2664765,623596,657122,38265,79493,1016959,2081494
699002,289326,979611,839557,306893,2466319,642133,672098,68461,102981,692313,856082
891084,279574,1236252,814680,308604,2276232,458147,673872,45077,69940,942749,2069745
877089,244393,1489608,783768,307735,2693620,829084,869528,18988,54101,921264,2056219
894000,241580,1224280,802795,309331,2512235,646954,481853,18709,61353,636274,1479383
1082661,265606,1206632,802331,392111,2541696,626863,851480,27182,62199,1059864,2609379
873135,235157,1484180,784154,301338,2818726,818973,674515,19204,73469,1207725,2021677
905885,306820,1255016,826698,309526,2508258,644871,478710,39521,87877,659665,1465476
879734,200097,918956,599329,309458,2243309,459041,676258,18210,52352,914416,2066497
667284,206320,1223496,806147,310899,2539515,645466,674458,36676,47154,625269,1477371
884506,234519,1212340,780626,217240,2264209,646776,480876,22103,57755,924772,2072297
943008,287162,1243661,812482,405139,2924127,648242,730512,57189,115567,976016,2112038
668158,211491,1225375,796330,312964,2541257,651169,677767,37569,59511,626069,1486429
875748,217706,1210927,780033,222004,2221962,664147,487733,17887,56071,935522,2103963
661568,213998,936479,607474,315892,2538080,656931,686526,36765,71246,632183,1470346
881828,241369,1215472,786180,312508,2266341,461101,679011,21076,49114,914669,2085851
873057,213378,1495761,789078,313974,2775675,839234,678753,28346,71604,1217310,2078588
824814,180850,912892,631823,311763,2521345,647042,675677,32746,67273,622530,1379998
873072,232695,1186493,764069,311936,2238694,459969,676408,19314,44658,913202,2069583
663149,205287,1225502,624711,218555,2452100,645544,679369,40492,73021,936516,1474834
876802,242887,1210384,781556,311878,2487559,647638,479599,27266,60303,614884,1458413
1109770,245373,1202557,778296,409354,2484034,656705,881322,38511,74618,944494,2713364
667699,210542,1207283,778699,218774,2257511,648475,677777,26612,60426,921328,1470161
884897,288842,1488316,960207,397331,2799436,820808,661712,39966,81656,628381,1471682
877536,205964,907846,595784,307956,2330931,466958,655257,39027,71355,915252,2052495
670523,189109,1217556,783894,318459,2531594,660321,689903,19748,46115,627081,1485965
934689,347175,1294096,864054,222191,2359127,654224,487463,77531,116656,991238,2082999
895839,267215,1232504,803797,411028,2764794,646609,675523,51613,93378,939189,2111365
653089,195289,916959,767795,319798,2412109,662843,693491,15890,44110,615755,1472340
880743,221923,1203666,772151,223639,2247449,665755,696815,21307,49976,932165,2116152
636557,213043,1007063,609343,282789,2481941,636374,664675,23988,61248,597908,1399485
873691,224723,1194564,768204,315624,2483227,457518,477286,27811,57026,635562,2089213
885117,267795,1218453,968766,311899,2530106,838365,876847,27892,60391,1225480,2072541
652327,231406,1193280,600333,219418,2478917,649818,676805,22494,57101,621906,1452508
884575,265658,1223054,793412,311190,2513379,460242,482567,30579,67601,634597,1457563
653302,197260,908223,761227,311556,2241804,458571,672146,17369,51254,910300,1445317
783469,280429,1209300,797529,302985,2510235,630411,461688,30974,76843,630716,1455890
1165008,260548,1223983,799243,405374,2802826,647289,871238,105009,125137,984525,2674225
666100,208147,1199349,771469,217835,2253778,646100,674758,25924,60541,917801,1457646
671960,237844,1210973,995170,399858,2904924,824002,662912,43168,89167,934352,1476599
864420,223819,921418,609851,310683,2431224,457705,478109,32935,64027,908704,2051979
678252,221525,936546,800955,319917,2511646,664763,692951,37695,56922,646277,1485347
877000,226540,1199163,774368,219633,2256214,644678,628059,19204,55181,920819,2075376
873060,283030,1227184,804280,406545,2802513,649846,678678,40278,82866,912532,2077550
649467,197776,917328,799851,311998,2535793,648239,676339,38479,65928,631163,1433209
934053,345565,1281197,840961,223408,2260534,664358,693892,59073,88526,970796,2155069
651740,259433,1224475,628825,224061,2529335,655590,685336,31289,70747,617220,1468387
865879,221656,1206912,771969,321782,2485668,467281,487919,24136,59167,621233,1464157
866519,231969,1191630,957571,397359,2508293,700448,892551,39127,72111,1234884,2111812
684890,278418,1248578,614413,225431,2541347,666003,695705,29801,67724,650675,1515060
868122,216836,1201355,761312,321185,2431912,464658,485881,11041,48260,616917,1490416
710098,293310,982173,825949,320774,2298252,468549,690598,64919,99235,979768,1502502
682323,291252,1244661,817086,317390,2500414,652135,679140,59738,87046,971784,1462179
1313178,324461,1785364,951419,419087,2922732,1052358,691755,37725,83316,1224474,2753245
884380,222165,942693,619863,321980,2253172,467735,692604,30642,67210,938146,2120926
636515,211718,1182568,759660,308466,2467017,635925,661673,27517,53120,872958,1410065
1105571,305539,1506493,799464,315093,2529191,663243,679486,31956,87563,1224351,2715892
658302,217116,937037,783178,320732,2471969,661192,690029,30178,48409,630585,1463162
881685,264153,1204750,770922,222661,2272976,652694,681267,33502,63312,932056,2108044
904533,294430,1524830,801580,324545,2804436,663201,690515,28346,68224,944352,2160718
641215,179020,907939,749226,321567,2440291,660605,691230,12600,47293,609441,839051
856595,234157,1181589,748805,249073,2299864,593452,674079,16046,45266,899100,2090006
652424,221283,1197562,593996,222846,2439674,661488,688611,16538,50676,626889,1494411
874740,253762,1216361,786455,321268,2496688,467350,487979,36708,71152,622794,1463456
885894,238454,1214217,961065,416490,2496644,653694,888038,23702,55449,1232360,2129664
649971,192638,1211881,597715,224645,2458142,664539,695304,18963,52853,916914,1483568
896517,268386,1236676,792235,322571,2558372,666972,493344,29973,66625,634976,1491062
650356,189814,1045390,756362,214993,2236487,642762,672352,16410,50157,901498,1482887
658618,269006,1227726,792449,322145,2518470,663089,488703,29442,69509,625701,1479255
1094391,255450,1206771,777540,419076,2622194,660754,691513,27642,59682,932041,2755320
664064,212059,922756,791198,223444,2319910,662450,690145,28504,64311,936028,1488107
653061,252724,1221825,784980,321851,2477120,660917,691218,30995,60240,620688,1474137
1076236,259468,1467113,769563,310087,2789213,640360,668458,19581,51362,1204132,2692635
644314,223380,912597,787614,309378,2501834,638421,667691,38980,72051,657006,1121064
862348,238297,1193830,766359,223548,2237292,654420,681842,15135,46410,906165,2085984
889687,293372,1503566,779603,322027,2677652,661874,692156,35110,76042,945945,2128176
663534,211756,939193,782197,324495,2526829,670319,699137,20510,55155,622755,858852
919791,359108,1277662,842929,323719,2307871,468922,693466,76375,105954,995609,2144083
655194,206434,1198771,580888,223444,2504535,662520,692004,24250,62422,915204,1475221
891506,291537,1235480,793259,330823,2613838,641091,493202,29450,71872,661052,1524908
885425,282264,1212605,930794,419734,2441053,657360,888775,36110,69718,1211481,2148441
635662,187020,1194258,596242,224660,2464751,659690,686232,18862,52062,889963,1478414
876129,266745,1206710,775460,321098,2523815,660737,488645,26694,77273,646069,1497023
868238,204533,921581,593314,322436,2265492,466579,686980,22831,61247,919803,2140650
670254,247243,1212939,778151,320416,2491053,657968,685242,32306,38895,621954,1495124
1035742,266453,1462605,924230,315753,2559499,837603,670564,21394,72420,907691,2117427
849003,204070,902433,578900,320638,2210342,461755,682461,26116,60735,907418,2109923
656807,207750,1192655,765880,320165,2451980,657245,685597,32544,44845,617914,1490207
864169,241545,1195371,591538,219717,2452424,464436,484677,21007,55681,904218,2126953
666089,238608,1219660,952772,413844,2859329,839514,874257,48362,95381,908556,842951
874212,255785,1473348,931002,420039,2473997,657805,887571,24074,59243,1209027,2128077
843774,245493,1167486,577148,213873,2448783,516331,482290,25284,63160,887816,2077493
666306,226769,942608,780960,323488,2550697,658158,686743,35029,71023,625408,859742
