cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
14294009,1455646,21041338,13864108,3753805,77175123,7294252,8006178,117866,526055,10572958,24884054,117072
14299440,1299801,20464199,13583827,3649580,76904570,7311464,8028723,28401,426234,10678625,25699780,116321
14455448,1290893,20846847,13574611,3645639,76417050,7105929,7830516,23834,423242,10719679,26461309,115932
14403903,1331084,20880345,13683031,3775743,76499807,7110399,7825529,24659,435245,10459685,26250299,113932
14299593,1279260,21139326,13773630,3887946,77175433,7525771,8263088,16715,419973,10511884,25022741,115214
14238367,1290182,20416151,13481371,3652245,76792365,7321438,8055524,21658,428259,10718128,26359714,114557
14371802,1299308,20809127,13601614,3654932,76185273,6895786,7805951,19034,424039,10631458,26318996,113107
14508199,1356506,20873397,13636243,3758117,76554618,7099106,7819086,24095,424791,10494782,26610318,114666
14414842,1303744,21052534,13774161,3783090,76611508,7336718,8280778,30683,436270,10432520,25662373,113268
14249493,1278616,20598296,13547594,3769423,77023250,7508745,8215597,24483,428348,10906688,26342632,114840
14655209,1346177,21152872,13810322,3763490,76892693,6917222,7843665,47825,448546,11018133,27166015,116930
14490865,1360746,20951908,13707640,3769405,76845584,7322437,7819066,76807,465138,10512464,26339483,116480
14318165,1289379,20915158,13653412,3767314,76911183,7301256,8012086,15643,408685,10224762,25048491,115908
14143584,1290836,20674269,13597511,3767103,76968912,7314814,8031452,19405,428304,10744636,25734431,115023
15403686,2208645,22256134,14871133,4033836,82672295,8240984,9197454,834356,1275160,13243482,28775098,120752
14520144,1428871,20959077,13731557,3766380,76988549,7312593,7821323,51836,454418,10549376,26503708,116077
14390570,1339977,21058693,13805936,3786145,77394174,7349132,8075041,25426,441234,10280473,25089062,117621
14142794,1308517,20468917,13556573,3767967,76721321,7289123,7987214,23797,424484,10668243,25758791,116233
14450609,1331906,20852481,13567524,3542677,76671147,7116835,8039077,13630,418889,10688692,26450866,116218
14473337,1323139,20940823,13704275,3767340,76740340,7101505,7595989,12191,419862,10657096,26278284,116727
14439469,1297295,21067903,13735749,3865506,76861600,7489019,8215951,27902,432709,10256951,25653507,115841
14142603,1281927,20461002,13551457,3769143,76673711,7329990,8051336,31403,442608,10729595,25741346,113668
14435214,1302110,20851031,13564953,3539004,76574091,7117489,8034781,21752,423505,10684239,26391432,115998
14490155,1291635,20865510,13618059,3746365,76606025,7091391,7598184,22165,417205,10713725,26531133,116151
14587089,1327607,21092484,13675840,3771134,76864246,7533812,8255771,23016,431417,10480093,25660878,115915
14144377,1355669,20654004,13661572,3874299,76904614,7469312,8184361,24756,442326,10891665,25771929,115499
