uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
114110,75078,75788,207629,112953,130057,195440,106907,821728,312377,212752,135546,79318,310438,210438,133274,79701,402758,395937,2296218,0,4093993,908748,824485,506404,3935338,1508270,1004340
109295,72487,73914,202412,108220,125886,190741,104506,841860,317984,214696,135140,80653,317317,211115,134014,77963,392425,792098,3782061,0,4129302,918706,828615,509574,3943898,1033127,515286
113430,73466,74199,203097,106686,123064,184194,101808,806993,309394,212347,134274,80824,322784,218968,138103,81580,791911,1179269,3708289,0,4059455,903110,814358,505550,2353060,594001,591923
108238,70551,71556,195302,104855,121495,180341,100281,805110,306294,208961,133178,79926,311650,211959,303458,348201,1327555,1348607,4306862,0,5053104,1169858,841619,356739,800090,482616,461159
109030,71541,71275,201672,107263,124990,186745,103179,811248,312697,211597,130615,77269,303948,534279,614836,412752,1193687,1139315,3200768,0,3431617,491491,258651,195054,788648,443825,430459
117289,75234,77046,216295,116027,135216,194276,107124,825004,322532,214383,133454,81071,783906,885125,626221,432605,1309035,1307533,3792792,0,2412956,223596,267962,203840,821512,543190,533554
119723,76138,77972,219073,113660,129008,190187,104915,819681,314426,215518,132669,252234,1244288,881193,624679,429836,1307520,1313904,3785557,0,844453,212581,257284,204963,841049,679397,673694
113027,73851,74264,204254,110412,128205,192965,104289,813209,311654,211872,371272,431068,1240076,888018,634796,429982,1131599,1123991,2310453,0,829609,210596,253465,194803,774720,427307,430067
111079,72614,71519,196449,106975,126936,189822,104546,817846,314217,480529,521367,356658,1080169,796538,588419,423557,1089842,708315,791362,0,823804,215619,258866,200794,799917,452471,439660
114228,72109,73360,205484,109268,126947,189165,104097,1968971,1142749,1069879,732877,483580,1375257,984070,704653,374232,674922,350158,820702,0,860343,220701,266347,205641,798909,493683,512273
109483,72415,72349,196572,105559,122193,181908,322944,3709559,1209659,870190,617796,422748,1170015,802483,341144,79411,333069,329242,819832,0,842428,215837,263321,203064,796135,459395,480571
111593,71117,72036,197288,106138,122858,483049,565103,3848372,1246880,887167,633233,441377,1249971,550333,131492,78609,454534,446150,831894,0,885074,223140,266201,204377,814186,530750,526768
116742,75287,78243,217023,115453,334572,781790,558235,3795507,1240750,875966,621070,430497,775057,214785,135736,80530,367980,380048,831118,0,852795,216070,258685,199411,813002,502564,514561
