uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,0,0,0,386062,293861,1974292,614976,455965,340347,235970,614976,0,0,0,0,59240,210764,0,217527,45308,47478,29864,199314,0,0
0,0,0,0,0,0,269388,202919,1364204,428793,309450,227164,160631,428793,0,0,0,0,27130,71165,0,75203,19212,21933,17985,68208,0,0
0,0,0,0,0,0,266656,259385,1696516,528306,384602,281604,201478,528306,393571,0,0,0,34021,90806,0,96238,24038,26997,21765,86186,0,0
0,0,0,0,0,0,0,419554,2748702,855469,618525,454688,327848,855469,618525,0,0,0,60554,211729,0,217987,47964,50278,33804,201259,0,0
0,0,0,0,0,0,0,273563,1796210,554253,398791,295022,212825,554253,398791,0,0,0,31111,88944,0,94035,23533,26111,21062,84700,0,0
0,0,0,0,0,0,0,328844,2148991,668269,485771,358624,255605,668269,485771,0,0,0,56394,203473,0,208475,44807,47226,30541,194585,0,0
0,0,0,0,0,0,0,198416,1299234,406353,292112,214708,154108,406353,292112,0,0,0,24258,67737,0,71530,18127,20907,17180,64933,0,0
0,0,0,0,0,0,0,272137,1800624,562802,410629,304599,214688,562802,410629,309870,0,0,33621,99822,0,106211,26778,31010,25512,94089,121307,0
0,0,0,0,0,0,0,0,1942403,605714,439356,322102,232410,605714,439356,322102,0,0,0,211713,0,218817,45470,47788,30170,199928,93420,0
0,0,0,0,0,0,0,0,1564604,476086,355924,266609,189218,476086,355924,266609,0,0,0,203671,0,206937,42337,44585,26395,195805,80452,0
0,0,0,0,0,0,0,0,1972997,608164,445836,330180,236152,608164,445836,330180,0,0,0,256250,0,259224,53278,56956,34064,247482,103568,0
0,0,0,0,0,0,0,0,2373892,744052,538282,393472,281090,744052,538282,393472,0,0,0,111398,0,116955,29413,31841,25417,106991,50588,0
0,0,0,0,0,0,0,0,1943068,601710,435142,321500,232010,601710,435142,321500,0,0,0,97959,0,102722,25592,28580,23067,93400,43916,0
0,0,0,0,0,0,0,0,1991608,620838,453644,332065,236374,620838,453644,332065,0,0,0,380718,0,255173,51556,55896,35210,237228,99725,50662
0,0,0,0,0,0,0,0,1299110,388505,283614,210122,151405,388505,283614,210122,88340,0,0,0,0,69546,18021,20708,16975,64558,31397,31397
10526,0,0,0,0,0,0,0,0,521258,375953,276934,198912,521258,375953,276934,198912,0,0,0,0,207063,43279,46731,28854,196555,86719,86719
7590,0,0,0,0,0,0,0,0,414478,302625,224278,161064,414478,302625,224278,161064,0,0,0,0,71813,18327,21021,17139,66158,32277,32277
10716,0,0,0,0,0,0,0,0,519501,379839,279647,197940,519501,379839,279647,197940,0,0,0,0,212854,44317,46633,27900,203720,84349,84349
12038,0,0,0,0,0,0,0,0,685656,498563,369201,268422,685656,498563,369201,268422,0,0,0,0,113104,28631,31382,25350,102741,49899,49899
7744,0,0,0,0,0,0,0,0,400696,291080,215172,153729,400696,291080,215172,153729,0,0,0,0,70478,17698,20106,16192,64158,32309,32309
14935,0,0,0,0,0,0,0,0,841355,600492,440520,313759,830657,600492,440520,313759,538034,0,0,0,139111,35086,38028,30401,127375,61523,61523
8259,0,0,0,0,0,0,0,0,0,318579,233370,165531,437666,318579,233370,165531,328311,0,0,0,77306,19563,22284,18168,70145,36229,36229
8844,0,0,0,0,0,0,0,0,0,351428,257329,184566,478793,351428,257329,184566,368840,0,0,0,81662,20851,23085,18620,74342,36093,36093
14522,14740,0,0,0,0,0,0,0,0,470022,345114,247495,645817,470022,345114,247495,492560,0,0,0,103658,31830,35313,28393,112042,65065,65065
10471,21829,0,0,0,0,0,0,0,0,300365,222337,156922,408211,300365,222337,156922,328454,0,0,0,0,44679,47039,26601,213081,101310,101310
11716,9021,0,0,0,0,0,0,0,0,414908,307543,218840,567982,414908,307543,218840,464067,0,0,0,0,25733,28302,22605,92764,51316,51316
7729,6555,0,0,0,0,0,0,0,0,291985,214508,149081,405533,294292,214508,149081,311064,282807,0,0,0,18390,20945,17086,66245,34479,34479
9540,8307,0,0,0,0,0,0,0,0,0,275330,197912,508732,373416,275330,197912,405059,405059,0,0,0,23076,26226,21380,83093,39629,39629
17714,14381,0,0,0,0,0,0,0,0,0,512734,366377,957738,698277,512734,366377,759658,759658,0,0,0,40438,43354,34434,147163,71119,71119
10654,34545,43267,0,0,0,0,0,0,0,0,236354,169899,442297,320990,236354,169899,356150,356150,0,0,0,20795,70327,35804,338057,160830,160830
13170,19900,20162,0,0,0,0,0,0,0,0,301644,215457,566967,411438,301644,215457,450039,450039,0,0,0,0,47174,29888,196385,99694,99694
46468,54884,41394,174633,93701,20721,33378,18070,136817,66943,80784,5652264,3999851,10710836,7771848,5652264,3999851,8358479,8358479,0,0,0,0,749650,270202,2609867,961622,731457
115734,70335,72499,197326,107860,122485,187087,105548,820766,320438,216450,137287,103143,1256129,940174,680360,458433,1383657,1366788,4048649,0,893155,220892,260746,200349,802277,488930,496822
116263,74311,75802,212451,112365,129170,194504,108043,820940,323570,214079,551749,522336,1515108,1074472,769418,552302,1404684,1457866,2396299,0,848713,215202,254390,200263,801825,503037,502724
114164,72197,74496,206283,111681,128034,191110,106554,826166,318418,914064,651174,424868,1170479,801741,551893,375851,981684,403290,842510,0,904601,225127,261993,201323,807831,533352,517224
112905,73095,74600,206512,112152,126970,191522,103834,809391,1269068,903474,641596,444595,1268587,905736,642424,423331,452203,441060,823201,0,879586,219513,257852,197435,819929,502589,494502
116043,73428,74735,207877,111286,128609,193591,105787,3916781,1285784,920910,651013,445915,1277594,914808,649529,78583,410302,404197,813530,0,887038,223740,262526,204928,828981,529986,525143
120495,77541,79240,222277,118911,134240,201207,575179,3901009,1278313,913401,646662,447312,1297752,920798,138963,81395,412061,411208,834243,0,837914,212464,254947,198374,807189,526909,534629
109959,72242,73029,205044,115872,137102,685512,487368,3427236,1177962,887985,659587,446022,1263057,214170,135318,78024,335872,335573,780279,0,819230,208415,251135,193210,774928,434530,441956
109599,71529,72509,199689,607489,696151,985402,688761,5802136,1863249,1337286,960993,387509,729542,530638,379486,77114,330403,330235,788490,0,824230,208945,252103,194441,776526,441359,456559
110882,72745,74187,1139293,631377,537030,807418,577072,3774724,1180865,803248,129424,79933,317950,215859,135930,82312,395258,382742,849143,0,847101,211223,253705,194592,779368,418228,429790
114829,73125,264683,1138175,629357,538343,804142,575508,3894119,1276743,208574,130930,75756,307997,205232,129259,78475,406220,407191,824232,0,885896,227518,270485,201961,812709,506448,514463
112490,316328,263989,1120028,620394,530531,789059,565797,3826015,306931,205422,130070,77421,313520,209196,133141,76795,362875,359885,816170,0,866088,220797,263682,203253,808708,495986,503081
149665,279967,243751,1078662,622422,527024,793997,570853,829512,322583,214631,135121,79377,320872,213181,129940,76766,426619,434559,801748,0,844314,213448,256422,199674,802959,544003,538522
166324,367729,307615,1334728,742125,653325,994012,316461,2257586,772432,537978,371184,248343,765672,212453,134628,79406,385360,382593,825252,0,886774,221311,264921,207017,814621,936750,1744589
158458,291016,234914,952378,155334,133163,201640,109047,846920,328746,220936,134062,76702,304862,205874,131240,78920,329119,328124,808394,0,861542,222990,267870,486137,4028395,1427580,1433289
159729,327096,271725,210416,114423,131619,198436,104489,815150,315334,212066,134030,77950,313937,211300,133628,76171,360685,359596,790769,0,824668,210274,851617,519559,4100161,1419117,1438465
157707,320305,72940,200687,108190,124089,194380,105593,825732,319603,214872,136084,82207,333383,219233,138886,80857,383138,391474,849908,0,845766,948220,850678,520847,4067819,1454668,1452514
154869,71616,72100,199162,107758,124486,187732,101959,798171,307575,207693,134623,79318,326471,217434,137058,83756,419436,424173,868808,0,3917300,906196,856317,525101,4105458,1400440,1395470
113311,72974,74372,205006,110451,126839,195636,105594,818361,317451,211260,133547,78008,315443,205206,130726,74929,394321,397372,2085464,0,5039118,1108841,984773,608399,5145223,1866355,1489535
119655,78653,80534,224967,113799,131364,198090,106592,830285,313541,209904,131974,79153,316577,213909,134589,78579,363780,735856,4016514,0,4060572,861066,751633,465119,3508355,858356,483443
114722,73524,75766,210763,114514,131049,201138,110275,840892,323267,215568,136099,80742,323252,212479,133753,78113,1027059,1144231,3850790,0,4196567,932039,840004,509455,1374989,534244,520066
110116,71794,73105,204516,113985,130788,197025,107214,832090,320927,217216,135194,77014,307625,212690,135025,454902,1097917,1104830,3983084,0,4346194,952617,854109,194757,782694,492788,487356
114916,74409,74275,206046,112003,128274,194643,104704,829404,326121,218991,137678,80796,324767,214547,627207,450750,1151034,1153843,3962894,0,4340051,964274,266434,205505,819970,500022,499969
114443,74101,74867,206879,110264,128933,191808,104265,804142,312138,208432,131754,78654,1095041,780093,549375,391405,1026674,1079844,3974364,0,881415,223615,266718,210435,833779,477899,469387
108889,72351,73249,201712,109237,127738,193048,104865,817526,310274,206963,393736,605372,1617636,1105010,758327,522907,1254827,1257649,3353314,0,889704,225640,263163,199889,798423,461506,448665
111555,72245,73515,202906,109995,126015,187477,102469,792204,305139,562030,656753,451280,1291161,929022,661300,435861,1021348,669600,814862,0,882506,224222,261837,200798,817594,460405,459944
121493,76279,78088,219240,112262,128505,188817,103546,800599,973713,893216,636670,437180,1257552,892251,635626,437312,577915,381391,812965,0,858522,214372,256975,204770,829107,542384,534852
116279,74270,76410,211432,115846,135234,202761,110788,3969924,1303052,926233,656113,451081,1295037,922332,653886,79195,456470,457658,822810,0,864192,219003,262933,193723,777130,528700,521253
109942,71709,73180,202178,113544,130385,196530,488875,3387496,1159791,859253,634842,447962,1291891,920549,132651,77884,351589,356206,781234,0,817544,208143,250988,193682,779265,442061,430258
140179,187550,165430,643252,351412,321624,990378,690901,4539459,1469081,1055052,758148,527231,1134196,213986,135191,76978,393589,395151,799686,0,836117,212357,260771,200783,2317906,1030425,1034976
112263,74590,75783,207903,378885,550680,819888,586689,3934120,1245505,848441,572803,231296,340018,228805,142972,83673,422447,429235,864737,0,870785,218119,261491,200729,802664,502780,499133
116105,75201,76590,671055,634017,540555,807279,575908,3897665,1275124,913427,391671,78208,309254,208546,131819,79696,378377,390841,844834,0,886367,222146,265147,206789,811673,507600,496920
115970,222353,269679,1156597,640078,544519,808941,581190,3939077,706927,204898,129582,77134,302610,205584,133517,79567,362636,362239,815604,0,897583,231802,272941,206912,841891,475664,483065
152439,295164,260603,1156175,643512,550743,819997,587281,816148,309709,210301,133572,78117,308032,206984,130830,77292,394204,388382,799339,0,858268,216952,261364,203576,814118,447725,460191
167220,374477,311018,1350693,775122,685003,782577,111524,823179,316894,212367,135643,77804,307765,206842,133906,78539,400005,400017,806966,0,853377,215792,253812,194819,777683,850941,1626818
