cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
0,109,0,0,0,0,0,0,0,0,2577067,1236928,545953,72739,0,0,0,0,0,0,0,0,0,0,0
0,168,0,0,0,0,0,0,0,0,2593240,1231395,539494,71919,0,0,0,0,0,0,0,0,0,0,0
0,177,0,0,0,0,0,0,0,0,2560836,1309290,618227,159286,0,0,0,0,0,0,0,0,0,0,0
0,131,0,0,0,0,0,0,0,0,2593788,1182484,474602,5985,0,0,0,0,0,0,0,0,0,0,0
0,121,0,0,0,0,0,0,0,0,3205333,1240665,526384,58479,0,0,0,0,0,0,0,0,0,0,0
0,106,0,0,0,0,0,0,0,0,2558499,1251217,546275,65602,0,0,0,0,0,0,0,0,0,0,0
0,195,0,0,0,0,0,0,0,0,2582176,1271260,561004,85312,0,0,0,0,0,0,0,0,0,0,0
0,138,0,0,0,0,0,0,0,0,2610762,1262194,579462,94190,0,0,0,0,0,0,0,0,0,0,0
0,105,0,0,0,0,0,0,0,0,2572831,1196584,523117,66848,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,3141529,1284035,571840,89180,0,0,0,0,0,0,0,0,0,0,0
0,388,0,0,0,0,0,0,0,0,2566463,1316802,616344,137085,0,0,0,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0,2574361,1268532,548337,86215,0,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0,2588603,1360939,641610,156525,0,0,0,0,0,0,0,0,0,0,0
0,115,0,0,0,0,0,0,0,0,3200331,1306904,571967,89569,0,0,0,0,0,0,0,0,0,0,0
0,148,0,0,0,0,0,0,0,0,2585930,1280691,553650,66386,0,0,0,0,0,0,0,0,0,0,0
0,143,0,0,0,0,0,0,0,0,2546832,1214569,530628,47604,0,0,0,0,0,0,0,0,0,0,0
0,108,0,0,0,0,0,0,0,0,2578501,1150465,475732,33915,0,0,0,0,0,0,0,0,0,0,0
0,80,0,0,0,0,0,0,0,0,2578967,1155271,501128,63274,0,0,0,0,0,0,0,0,0,0,0
0,92,0,0,0,0,0,0,0,0,3153087,1175743,497922,18312,0,0,0,0,0,0,0,0,0,0,0
0,134,0,0,0,0,0,0,0,0,2583650,1211278,509155,27938,0,0,0,0,0,0,0,0,0,0,0
0,118,0,0,0,0,0,0,0,0,2526267,1164715,493403,11440,0,0,0,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0,2565318,1275853,566365,99673,0,0,0,0,0,0,0,0,0,0,0
0,155,0,0,0,0,0,0,0,0,3379414,1285284,564895,88856,0,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,2607153,1191457,502406,25293,0,0,0,0,0,0,0,0,0,0,0
0,95,0,0,0,0,0,0,0,0,2561951,1257043,554522,86370,0,0,0,0,0,0,0,0,0,0,0
0,115,0,0,0,0,0,0,0,0,2600008,1225616,553607,85797,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,2585481,1195350,518321,68056,2308,0,0,0,0,0,0,0,0,0,0
0,109,0,0,0,0,0,0,0,0,3381132,1281757,570759,102626,0,0,0,0,0,0,0,0,0,0,0
0,109,0,0,0,0,0,0,0,0,2587888,1167333,491036,42049,1438,0,0,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0,2530496,1240756,569228,96256,0,0,0,0,0,0,0,0,0,0,0
0,144,0,0,0,0,0,0,0,0,2621163,1258129,548578,68898,0,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,2567674,1261990,578649,125612,0,0,0,0,0,0,0,0,0,0,0
0,125,0,0,0,0,0,0,0,0,3356512,1299560,573835,96841,0,0,0,0,0,0,0,0,0,0,0
0,140,0,0,0,0,0,0,0,0,2594556,1198023,517227,61529,0,0,0,0,0,0,0,0,0,0,0
0,172,0,0,0,0,0,0,0,0,2540528,1289006,569340,99423,0,0,0,0,0,0,0,0,0,0,0
0,129,0,0,0,0,0,0,0,0,2618455,1225528,523271,38452,0,0,0,0,0,0,0,0,0,0,0
0,128,0,0,0,0,0,0,0,0,3101243,1243915,557151,86454,2695,0,0,0,0,0,0,0,0,0,0
0,125,0,0,0,0,0,0,0,0,2572402,1196429,491188,8572,0,0,0,0,0,0,0,0,0,0,0
0,149,0,0,0,0,0,0,0,0,2594895,1227712,514350,44006,0,0,0,0,0,0,0,0,0,0,0
0,141,0,0,0,0,0,0,0,0,2556280,1215686,514923,30859,1210,0,0,0,0,0,0,0,0,0,0
0,135,0,0,0,0,0,0,0,0,2600403,1275708,561997,75106,0,0,0,0,0,0,0,0,0,0,0
0,146,0,0,0,0,0,0,0,0,3109274,1155311,484602,19810,1643,0,0,0,0,0,0,0,0,0,0
0,145,0,0,0,0,0,0,0,0,2581448,1239265,512271,49204,0,0,0,0,0,0,0,0,0,0,0
0,95,0,0,0,0,0,0,0,0,2587216,1238973,548620,101374,2990,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,3815538,4167781,3239656,2913127,2037,0,0,0,0,0,0,0,0,0,0
0,102,0,0,0,0,0,0,0,0,2599402,1174872,482437,41262,3232,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,3134326,1204773,523031,59183,0,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,2581442,1224978,539384,92977,0,0,0,0,0,0,0,0,0,0,0
0,113,0,0,0,0,0,0,0,0,2587833,1187454,520262,63064,3518,0,0,0,0,0,0,0,0,0,0
0,102,0,0,0,0,0,0,0,0,2563610,1176596,510309,53300,0,0,0,0,0,0,0,0,0,0,0
0,96,0,0,0,0,0,0,0,0,2563740,1229405,535994,89720,0,0,0,0,0,0,0,0,0,0,0
0,33,0,0,0,0,0,0,0,0,3097753,1173255,500850,40388,0,0,0,0,0,0,0,0,0,0,0
