cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
1478145,1163017,1422392,1092978,124828,4506146,494216,757911,353263,414648,1371913,2549425,5822
1637912,1601182,1972645,1492570,364882,4982925,499961,282457,439426,481074,1455841,2378151,5640
1299039,1192331,1762627,1296343,341751,4593774,677611,708900,254727,254658,568655,1709704,5864
861701,1127761,1808861,1347216,346363,4999895,725039,756856,371247,429830,1016448,848033,2885
1658122,1493400,1653162,1281518,245860,5473873,734921,1000769,556515,583980,1787584,3248099,6215
1338108,1132228,1736437,1230231,345094,3781113,489912,283574,253128,297969,1301877,2562617,6138
1448545,1361307,1847271,1369327,357877,5185803,734506,767563,365401,413674,674799,1645875,4368
916214,1300225,1527433,1418424,360492,5551645,718869,737854,442332,489852,1074416,884774,3251
1052156,813667,1116768,793045,239647,4706334,689463,728813,367893,420291,1359163,2450670,4399
1832547,1494348,2235836,1640226,360962,4588815,491796,520471,426351,454136,1668936,3084215,6654
1437656,1301582,1839474,1401286,353454,5160237,698715,733124,363897,410081,685362,1691956,4415
809541,1077758,1461907,1335660,353613,4956825,740090,773366,380021,439505,1009880,885020,3208
1610195,1554723,1947414,1225175,348366,5686464,944155,971796,511520,558173,1396729,2425905,4378
1369350,1231160,1808435,1331449,234987,4233942,270961,519450,311689,420613,1354565,2594836,6084
1717201,1382334,2125781,1550889,464069,5680010,946966,746538,339637,382924,990162,1807398,5483
1675849,1606496,2003644,1497720,351050,5602008,709731,740270,422044,471445,750951,1714302,4371
753801,1034870,1375729,1277524,358632,4811791,741434,770861,291786,352268,928443,875819,3128
1220640,1173719,1452402,859127,243153,4351898,720923,740986,368700,421368,1369474,2490700,4582
1534393,1545350,1903353,1413849,236285,4545775,271565,511455,439069,519469,1475648,2542923,5957
1386855,1302284,1819378,1318662,362535,4719877,736940,527641,293408,266478,939069,1605955,5732
1197928,1231297,1859522,1627890,472361,5668989,923955,959097,457315,522983,1342571,873232,3049
1226095,1318184,1513102,855465,218522,4569063,696840,734317,450716,489950,1422771,2424638,4774
1451860,1218856,1826700,1319638,243926,4347462,270863,521601,297727,406080,1300276,2400185,5734
1552806,1551053,1960167,1470290,349981,5461802,705615,507506,435925,408105,1108538,1767007,6145
1086498,1074908,1758557,1308269,356004,5158910,731346,765167,419685,471817,1053730,882951,3227
1819291,1281260,1836656,1372567,358429,5531791,1159115,1192111,498316,553331,1707085,2468250,5706
1596884,1513305,1877290,1410676,337023,4851680,269630,287132,421648,511317,1467260,2541464,5533
1271432,1141207,1708359,1284353,347574,4784996,710202,549059,287347,264775,870334,1514801,5542
