cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
0,144,0,0,0,0,0,0,0,0,3145993,1094385,443336,47186,0,0,0,0,0,0,0,0,0,0,0
0,148,0,0,0,0,0,0,0,0,2612254,1143956,490193,85285,0,0,0,0,0,0,0,0,0,0,0
0,193,0,0,0,0,0,0,0,0,2570211,1116602,471061,79953,0,0,0,0,0,0,0,0,0,0,0
0,218,0,0,0,0,0,0,0,0,2592228,1197000,540927,151770,0,0,0,0,0,0,0,0,0,0,0
0,140,0,0,0,0,0,0,0,0,2605603,1148218,481697,80384,0,0,0,0,0,0,0,0,0,0,0
0,130,0,0,0,0,0,0,0,0,3131221,1193407,495213,93801,0,0,0,0,0,0,0,0,0,0,0
0,155,0,0,0,0,0,0,0,0,2612183,1103242,465305,57780,0,0,0,0,0,0,0,0,0,0,0
0,497,0,0,0,0,0,0,0,0,2617001,1218972,549106,148798,0,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,2595975,1160786,490374,96585,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,2603983,1196331,535873,139080,0,0,0,0,0,0,0,0,0,0,0
0,105,0,0,0,0,0,0,0,0,3124753,1212592,520773,107798,0,0,0,0,0,0,0,0,0,0,0
0,106,0,0,0,0,0,0,0,0,2586682,1155138,499228,89938,0,0,0,0,0,0,0,0,0,0,0
0,166,0,0,0,0,0,0,0,0,2596615,1192856,560214,168496,0,0,0,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0,2599520,1114957,452101,59304,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,3429994,1223607,542960,143303,0,0,0,0,0,0,0,0,0,0,0
0,104,0,0,0,0,0,0,0,0,2605237,1042893,421748,21271,0,0,0,0,0,0,0,0,0,0,0
0,135,0,0,0,0,0,0,0,0,2577810,1072667,421651,15318,0,0,0,0,0,0,0,0,0,0,0
0,227,0,0,0,0,0,0,0,0,2571651,1199614,539526,146406,0,0,0,0,0,0,0,0,0,0,0
0,195,0,0,0,0,0,0,0,0,2604427,1088657,457125,55072,0,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,3380949,1251825,553854,145765,0,0,0,0,0,0,0,0,0,0,0
0,105,0,0,0,0,0,0,0,0,2609551,1132597,488987,76811,0,0,0,0,0,0,0,0,0,0,0
0,226,0,0,0,0,0,0,0,0,2614780,1225602,556853,153457,0,0,0,0,0,0,0,0,0,0,0
0,168,0,0,0,0,0,0,0,0,2570640,1099531,462140,77003,0,0,0,0,0,0,0,0,0,0,0
0,225,0,0,0,0,0,0,0,0,3113699,1167646,500818,96221,0,0,0,0,0,0,0,0,0,0,0
0,242,0,0,0,0,0,0,0,0,3589543,3495308,1885701,1147434,0,0,0,0,0,0,0,0,0,0,0
0,198,0,0,0,0,0,0,0,0,2574402,1111821,447005,56643,0,0,0,0,0,0,0,0,0,0,0
0,98,0,0,0,0,0,0,0,0,2599538,1252220,544782,150178,0,0,0,0,0,0,0,0,0,0,0
0,185,0,0,0,0,0,0,0,0,2616865,1055108,410359,24922,0,0,0,0,0,0,0,0,0,0,0
0,86,0,0,0,0,0,0,0,0,2579082,1079339,408635,10091,0,0,0,0,0,0,0,0,0,0,0
0,172,0,0,0,0,0,0,0,0,2617516,1091886,449045,41048,0,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,2586801,1096136,459315,56346,0,0,0,0,0,0,0,0,0,0,0
0,199,0,0,0,0,0,0,0,0,2588676,1085222,422840,23918,0,0,0,0,0,0,0,0,0,0,0
0,222,0,0,0,0,0,0,0,0,2596982,1086607,438349,44158,0,0,0,0,0,0,0,0,0,0,0
0,251,0,0,0,0,0,0,0,0,3132262,1074356,424163,30098,0,0,0,0,0,0,0,0,0,0,0
0,152,0,0,0,0,0,0,0,0,2593292,1070153,434110,34379,0,0,0,0,0,0,0,0,0,0,0
0,180,0,0,0,0,0,0,0,0,2610458,1021190,396403,12929,0,0,0,0,0,0,0,0,0,0,0
0,280,0,0,0,0,0,0,0,0,2574227,1079777,422938,17814,0,0,0,0,0,0,0,0,0,0,0
0,94,0,0,0,0,0,0,0,0,2634404,1067543,413356,0,0,0,0,0,0,0,0,0,0,0,0
0,195,0,0,0,0,0,0,0,0,3133069,1058240,401828,3829,0,0,0,0,0,0,0,0,0,0,0
0,182,0,0,0,0,0,0,0,0,2612396,1023065,395392,0,0,0,0,0,0,0,0,0,0,0,0
0,289,0,0,0,0,0,0,0,0,2616112,1047639,407082,7516,0,0,0,0,0,0,0,0,0,0,0
0,218,0,0,0,0,0,0,0,0,2609821,1032605,408846,10910,0,0,0,0,0,0,0,0,0,0,0
0,166,0,0,0,0,0,0,0,0,3407881,1231661,551318,139317,0,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,3114199,1113864,455949,48033,0,0,0,0,0,0,0,0,0,0,0
0,190,0,0,0,0,0,0,0,0,2579500,1118220,475501,73311,0,0,0,0,0,0,0,0,0,0,0
0,259,0,0,0,0,0,0,0,0,2583035,1197972,539887,141295,0,0,0,0,0,0,0,0,0,0,0
0,135,0,0,0,0,0,0,0,0,2603157,1127042,457521,46002,0,0,0,0,0,0,0,0,0,0,0
0,190,0,0,0,0,0,0,0,0,3406684,1075476,412787,0,0,0,0,0,0,0,0,0,0,0,0
0,142,0,0,0,0,0,0,0,0,2595297,1191594,540244,151017,0,0,0,0,0,0,0,0,0,0,0
0,187,0,0,0,0,0,0,0,0,2605922,1126201,474421,76423,0,0,0,0,0,0,0,0,0,0,0
0,157,0,0,0,0,0,0,0,0,2606102,1171361,522062,136448,0,0,0,0,0,0,0,0,0,0,0
0,190,0,0,0,0,0,0,0,0,2601369,1036677,392287,951,0,0,0,0,0,0,0,0,0,0,0
0,191,0,0,0,0,0,0,0,0,3366493,1253720,561896,147489,0,0,0,0,0,0,0,0,0,0,0
0,157,0,0,0,0,0,0,0,0,2585037,1085502,455557,66103,0,0,0,0,0,0,0,0,0,0,0
0,155,0,0,0,0,0,0,0,0,2586472,1192179,538979,148918,0,0,0,0,0,0,0,0,0,0,0
0,262,0,0,0,0,0,0,0,0,2596826,1049070,408941,18107,0,0,0,0,0,0,0,0,0,0,0
0,118,0,0,0,0,0,0,0,0,2636454,1078249,430195,24074,0,0,0,0,0,0,0,0,0,0,0
0,183,0,0,0,0,0,0,0,0,3004361,1062700,438025,45116,0,0,0,0,0,0,0,0,0,0,0
0,356,0,0,0,0,0,0,0,0,2617097,1067033,432760,50033,0,0,0,0,0,0,0,0,0,0,0
0,217,0,0,0,0,0,0,0,0,2574639,1058933,429648,38472,0,0,0,0,0,0,0,0,0,0,0
0,82,0,0,0,0,0,0,0,0,2592134,1040972,397511,708,0,0,0,0,0,0,0,0,0,0,0
0,244,0,0,0,0,0,0,0,0,3390205,1079002,425720,18502,0,0,0,0,0,0,0,0,0,0,0
0,176,0,0,0,0,0,0,0,0,2590255,1025072,380920,475,0,0,0,0,0,0,0,0,0,0,0
0,182,0,0,0,0,0,0,0,0,2579587,1071842,411421,7449,0,0,0,0,0,0,0,0,0,0,0
0,153,0,0,0,0,0,0,0,0,2613511,1062514,423468,34065,0,0,0,0,0,0,0,0,0,0,0
0,142,0,0,0,0,0,0,0,0,2598853,1047396,427944,28375,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,3405882,1090975,421598,0,0,0,0,0,0,0,0,0,0,0,0
0,126,0,0,0,0,0,0,0,0,2597340,1093177,423467,17071,0,0,0,0,0,0,0,0,0,0,0
0,155,0,0,0,0,0,0,0,0,2594423,1055854,398504,0,0,0,0,0,0,0,0,0,0,0,0
0,146,0,0,0,0,0,0,0,0,2624713,1070770,420166,12454,0,0,0,0,0,0,0,0,0,0,0
0,180,0,0,0,0,0,0,0,0,3125297,1077650,417996,10376,2132,0,0,0,0,0,0,0,0,0,0
0,196,0,0,0,0,0,0,0,0,2620549,1027041,410319,0,0,0,0,0,0,0,0,0,0,0,0
0,113,0,0,0,0,0,0,0,0,2609613,1054987,403892,0,0,0,0,0,0,0,0,0,0,0,0
0,159,0,0,0,0,0,0,0,0,2588645,1034133,394459,0,0,0,0,0,0,0,0,0,0,0,0
0,159,0,0,0,0,0,0,0,0,2626530,1020680,395354,0,0,0,0,0,0,0,0,0,0,0,0
0,939,0,0,0,0,0,0,0,0,8050471,5778528,4000596,3501079,525615,0,0,0,0,0,0,0,0,0,0
0,1013,0,0,0,0,0,0,0,0,7931466,2382780,1440200,1015307,756065,0,0,0,0,0,0,0,0,0,0
0,1030,0,0,0,0,0,0,0,0,8356244,2362441,1354735,911216,718692,0,0,0,0,0,0,0,0,0,0
0,1000,0,0,0,0,0,0,0,0,7560827,2209924,1265337,828667,650650,0,0,0,0,0,0,0,0,0,0
0,1021,0,0,0,0,0,0,0,0,7947332,2163903,1221549,793544,653405,0,0,0,0,0,0,0,0,0,0
0,990,0,0,0,0,0,0,0,0,8391484,2200318,1244884,802357,657247,0,0,0,0,0,0,0,0,0,0
0,1039,0,0,0,0,0,0,0,0,9065992,2422117,1314337,918972,666736,0,0,0,0,0,0,0,0,0,0
0,1029,0,0,0,0,0,0,0,0,8974400,2398713,1347216,885089,702619,0,0,0,0,0,0,0,0,0,0
0,566,0,0,0,0,0,0,0,0,240907,557823,364896,263883,219506,0,0,0,0,0,0,0,0,0,0
0,356,0,0,0,0,0,0,0,0,146762,298608,148260,446737,114100,0,0,0,0,0,0,0,0,0,0
0,1043,0,0,0,0,0,0,0,0,8768173,2248936,1289791,837715,668478,0,0,0,0,0,0,0,0,0,0
0,1047,0,0,0,0,0,0,0,0,7981667,2169907,1232351,811083,695507,0,0,0,0,0,0,0,0,0,0
0,1029,0,0,0,0,0,0,0,0,8134656,2305411,1296686,844333,666490,0,0,0,0,0,0,0,0,0,0
0,1096,0,0,0,0,0,0,0,0,7722908,2234256,1270201,833125,676964,0,0,0,0,0,0,0,0,0,0
0,1049,0,0,0,0,0,0,0,0,7982003,2238049,1241612,784155,662205,0,0,0,0,0,0,0,0,0,0
0,1009,0,0,0,0,0,0,0,0,8451625,2396599,1364603,917792,696482,0,0,0,0,0,0,0,0,0,0
0,1059,0,0,0,0,0,0,0,0,8129295,2408027,1381901,904761,678256,0,0,0,0,0,0,0,0,0,0
0,1056,0,0,0,0,0,0,0,0,7974679,2263237,1321581,864797,631411,0,0,0,0,0,0,0,0,0,0
0,981,0,0,0,0,0,0,0,0,8455885,2304700,1295330,840626,678225,0,0,0,0,0,0,0,0,0,0
0,1055,0,0,0,0,0,0,0,0,7520354,2198675,1250911,843483,706620,0,0,0,0,0,0,0,0,0,0
0,1042,0,0,0,0,0,0,0,0,7894769,2277483,1327691,873443,698084,0,0,0,0,0,0,0,0,0,0
