decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
6661,32554,1377846,1295923,112721,345847,420,472181,30,35042,269654,0,693482,662,62814,60,356,86675,479,5286,1024756,1806677,77632,11094,765253,3992258,586127,14744858,2650019,727059,6319762,24035564,2432460,6524581
11219,18696,1974706,639077,47270,380326,89,208236,30,19374,96369,30,1196876,11250,173582,0,151,88832,30,16592,1210411,1839940,1473205,396030,3246549,3472003,352580,6078843,688674,331511,5191140,24285138,3002940,10607571
7232,21523,1154056,622190,3991,7177,8889,136273,210,25335,195190,0,50170,1274,104936,0,0,71755,60,6467,375453,801215,383399,2141,828782,618484,111871,4680179,1818116,585092,7053063,21768846,2015961,5519387
0,3604,80474,68796,0,5947,60,10630,60,1982,8410,36,44391,570,4594,0,60,3002,0,420,284500,258523,545827,199070,16112,149468,21953,708178,110941,29186,257032,3779481,408820,777606
15452,2714110,3494676,831858,19647,201936,974,341734,1768,92354,535160,747,2928969,21723,417946,26,1974,280173,476,75605,2286852,4599983,21076740,6195577,64068339,4515656,509077,11516500,2368395,610505,6577163,46393954,7279651,27430967
47818,744238,4371195,2529898,43398,970750,89,1138073,972,251133,1047250,0,3386936,16223,531801,0,151,479290,0,144454,2679754,3160748,526222,260720,2589839,9550761,1292358,30263462,7050743,1758129,19543026,138759628,15299269,15116111
53304,709784,4867790,3508014,8419,921078,512,1397389,3884,228097,900972,59,2830169,20910,417644,0,120,468055,0,148514,2746072,3706753,513818,596167,6444525,9443723,1271383,30097200,7018136,1752047,19614453,141099527,16569467,10341868
19030,418158,2388879,759787,17475,198552,9758,13887,1262,3959,208916,0,1439514,540,512910,29,11704,239808,89,34582,1392019,3419854,10007366,3697387,18655329,6375537,749356,17610598,2783572,754997,7774020,69265397,6993688,17786139
25803,144519,1243228,608172,7466,466221,8102,353982,1261,35814,396297,90,1602313,8426,109335,0,3512,41848,178,12833,1082626,1739990,2317674,781974,9140712,6429336,710813,15974856,3124709,958345,9722621,71086813,7214542,11776876
9328,159094,1362761,730505,17339,155667,1110,514176,180,25803,305018,59,1173023,5916,46422,120,900,173009,0,64606,1975886,3236011,170841,60476,724922,4480618,504701,8904780,1516900,597660,6900028,55881755,4841225,18981126
127637,494670,6549627,5922988,60279,2144046,0,1881803,2218,271221,1168789,1930,4185418,52760,552888,0,2151,438274,0,126240,3516607,5216454,295747,109342,6330087,11516858,1629015,37102270,5067802,1372695,14220290,140029441,16697369,17901955
102875,436689,5831877,4600388,35581,1550662,0,1392472,1479,234908,718727,0,1683233,45921,276459,0,1002,384500,119,126193,2827693,3647621,262354,98723,1193788,10214504,1424152,32465054,5188236,1368207,14807186,125923104,14754515,13945221
29196,345516,2814750,2294565,63253,696871,0,836433,0,126650,546597,0,1645696,42866,279907,0,150,246099,0,69740,1752092,2598090,177892,56290,767146,4846139,683882,15381522,3501778,882979,9949445,77097647,9378347,5500583
29003,329801,2820510,2302672,65242,690276,0,836071,0,127332,554993,0,1924317,43191,292127,0,120,252014,0,72395,1800971,2813636,705109,243674,754324,4812131,685035,15495014,3543783,886424,9860457,77189775,9373609,4967684
29485,333438,2827830,2286493,64144,704007,0,842808,0,131321,548732,0,1648214,42680,272484,0,207,249653,0,69062,1769007,2644507,181380,53896,743498,4740419,668462,15078324,3496452,881759,9996750,76939320,9314634,5517516
29566,347665,2814444,2310145,64636,710013,0,847030,29,127633,561811,0,1610832,43262,279058,0,300,246839,0,70832,1762153,2600856,685676,257291,741698,4766862,678102,15376936,3516671,880973,9996209,77574649,9385083,4992862
29396,342754,2830206,2265009,66805,730974,0,849059,0,129264,550200,29,1618880,41749,283504,0,90,253497,0,70027,1770177,2613548,180219,55782,750803,4789295,676770,15210466,3518643,882510,9971392,77168591,9342113,5039734
29189,346841,2810677,2293963,66996,712579,0,856129,0,125998,562295,0,1629823,43250,283667,0,151,252758,0,71358,1776966,2717720,663093,237472,1915123,4781513,678118,15348318,3508245,880473,9790901,77521094,9346823,5969414
29615,337614,2832713,2258132,65286,713345,0,1024766,0,126949,569468,0,1619420,43480,286828,0,149,251684,0,69647,1731573,2557545,180882,56565,780588,4812375,679345,15294510,3504343,875992,9976174,77019385,9315614,5033279
29327,348768,2823059,2276884,65966,694846,0,851843,0,125915,561612,60,1617412,43865,279400,0,180,240240,0,69770,1721336,2514436,185201,57538,753635,4738646,665281,15014797,3459875,873426,9919051,77455473,9301691,5507884
29396,328477,2797373,2310627,64942,695004,0,873095,0,123839,557124,0,1611408,43392,278980,30,149,247989,0,70601,1714366,2457094,692451,237426,3497029,4831042,677997,15368824,3538593,885895,9908472,76245642,9197172,4979913
29298,360341,2828148,2328827,64652,708959,0,848949,0,126302,563705,0,1622608,44215,279204,0,119,248449,0,69357,1707870,2480085,180646,55065,756386,4781027,674895,15244986,3519852,884171,9954909,77661267,9306991,5545903
29861,343501,2848322,2316014,64752,705509,0,828426,0,124754,560762,0,1613145,44305,281804,0,180,249659,0,69398,1709624,2530566,188966,275457,4562441,4830448,683278,15338232,3536710,889371,10087538,77365465,9324000,4960012
