decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
890,61958,817370,644508,24304,205749,3382,971837,394,59548,320967,686,1479691,6354,44370,0,716,58772,30,3928,540067,708463,4937449,2104181,27022342,2338855,315013,7386886,1119915,264852,1971551,13386697,1218633,4561155
100663,434660,5685741,4895057,118211,1770196,0,1608376,2161,231812,993036,2037,3483198,73094,490229,0,3037,449525,0,136557,3612404,4711677,299996,106930,1174056,11370247,1601222,36608684,4351454,1074679,10591734,106732494,13114333,19176684
103271,425464,5789382,4437008,36137,1584983,29,1462060,977,213475,919626,899,3676835,36360,584548,0,2743,481815,0,164202,3709944,4196107,996927,349545,4270142,12741353,1666281,35554258,5241752,1375604,14643294,124157432,14539705,13885325
29446,284908,2827730,2282427,60146,717715,0,847817,0,122859,534821,0,1661895,47640,272199,0,3260,236098,0,61566,1617538,2456753,197615,78159,920710,4781942,658812,15221690,3543251,886332,9956923,77288555,9273235,5428236
29639,299131,2807971,2205135,61968,704110,0,824370,0,125792,564679,0,1636352,46602,276759,0,2828,231815,0,61268,1606653,2511913,720374,271001,3744114,4723528,646505,15023146,3508846,889883,10081493,77117555,9267942,5014112
29664,301180,2819954,2303291,63091,714111,0,835259,0,123088,556077,0,1645088,46016,277377,0,2784,236932,0,61093,1627609,2500824,206400,84212,949494,4784950,647379,15145939,3512075,879554,9934768,76661839,9235406,4878164
29288,336593,2789159,2184417,63259,687056,0,822105,0,129570,541430,0,1615599,45635,277234,0,3368,244933,0,62772,1628966,2546965,207575,362662,4204708,4736621,647957,14949732,3503728,885029,9971959,77544113,9311202,5407773
29432,317245,2811140,2264283,63208,679659,0,812407,0,131053,641155,0,1631354,46309,274921,0,2975,239487,0,61565,1594905,2543472,203042,81409,940902,4691540,646661,15069444,3492240,878971,9907666,76666824,9274942,4943136
29212,334182,2790826,2231352,63903,701691,0,815155,0,128365,541473,0,1591653,47230,275407,0,3433,238017,0,63430,1641454,2599358,202168,81165,3792431,4758082,653287,15206911,3536336,887926,10030435,78103740,9370585,5487390
29572,319954,2807663,2205811,61841,690871,0,819267,0,129875,560413,0,1631579,46481,278497,0,3315,235449,0,63335,1623644,2594000,203352,81857,940258,4704330,641655,14954241,3466355,868365,9923528,76318326,9213582,4951694
29653,316801,2823965,2291777,61250,702798,0,829477,0,127084,552539,0,1619832,47379,272120,0,3316,236206,0,66148,1648343,2495567,202568,82306,938033,4692226,649257,15041841,3518975,887686,10035274,76880842,9294901,5487832
29432,321326,2791221,2280620,63610,668661,0,812622,0,131003,549393,0,1612292,48255,286191,0,3381,230728,0,64123,1658300,2705785,729299,286956,935954,4721021,651063,15090972,3513052,887114,10000799,77504749,9353658,4906745
29276,318017,2789864,2231257,63942,680228,0,837208,0,132668,545681,0,1876601,45065,274826,30,2870,232830,0,62504,1658029,2710706,201892,82310,943467,4717043,647127,14990873,3508150,886526,9997187,77623110,9370334,5428467
29485,307278,2824570,2234761,62620,709470,0,819054,0,128200,539549,0,1625901,46041,276944,0,1587,244706,0,63130,1662749,2626000,742907,257281,942415,4704897,645130,15067223,3467896,879013,9863989,78317458,9370724,5925707
29541,299718,2808848,2248143,64113,699987,0,982681,0,129572,560840,0,1599749,45130,274107,0,1390,237160,0,61913,1660437,2488427,205982,87251,938903,4689748,644217,14987113,3493858,880799,10022241,77096634,9293110,4876458
29226,332508,2796290,2283328,61974,697943,0,821720,0,128700,550363,0,1570132,46315,269591,0,1502,244429,0,63878,1654983,2586000,203188,84424,945182,4708164,650210,15098048,3470998,878344,9919753,77763201,9339362,5371014
29698,317782,2809978,2254903,63975,715186,0,793658,0,130991,554150,0,1615231,45436,278670,0,1791,235913,0,61801,1620875,2560012,690565,257546,3547503,4738987,650960,15053027,3520881,884378,10023407,76999683,9296744,4921508
29257,326050,2798653,2259372,63456,676704,0,818856,0,124323,539517,0,1643810,46568,274560,0,2990,233180,0,62596,1609291,2521608,210432,83796,960142,4662640,643556,14955075,3488178,882020,9947145,76314716,9209108,4885374
29338,337565,2810800,2247089,63662,690762,0,816998,0,129202,538278,0,1607566,45940,266876,0,3058,231310,0,62958,1612549,2398573,184961,309865,5854233,4770392,656889,15061739,3502990,885476,9960184,77700234,9281653,5565224
29528,329942,2834120,2267436,63532,693591,0,813268,756,210379,845086,1001,2526227,50134,276289,0,3497,233675,0,62789,1656147,2312596,170717,48166,3557342,4835351,687128,15373839,3502804,880846,9906476,75845175,9105836,4828494
29050,329535,2823550,2303034,64089,718773,0,816838,0,128009,553764,0,1627946,43283,279453,0,1634,242862,0,62130,1676383,2613331,164075,46815,3530054,4838519,682451,15395415,3495927,877638,9876900,77315875,9301524,5477909
29131,279754,2798957,2335567,62647,691948,0,809191,0,130973,543444,0,1619909,45408,266461,0,2365,228649,0,61935,1630103,2416413,162578,43998,654416,4808197,681019,15320407,3507198,874867,9896312,75542891,9062709,4750313
29187,326181,2818641,2286470,62401,711149,0,817229,0,129025,545750,0,1607864,45598,275245,0,1170,239260,0,63581,1657989,2542292,166537,46309,671709,4822803,683092,15262596,3506973,879263,9942462,76764150,9321390,5649495
29658,327826,2834633,2256257,61623,683479,0,810055,0,129277,539370,0,1604777,47173,267226,0,3089,247959,0,60702,1610817,2527981,162677,45025,4543418,4823445,680550,15345370,3512337,884975,10020746,77228343,9302930,4845872
29259,337778,2821352,2262978,61150,697369,0,815504,59,127669,544902,0,1644052,45917,266771,0,2538,236280,0,62054,1635279,2532462,161873,43946,659007,4765340,675502,15183566,3506072,879621,9959289,76761231,9302411,5404504
29317,316126,2815289,2295119,59057,700363,0,807445,0,129389,558928,30,1630984,47936,276688,0,1497,241997,0,63222,1623389,2570765,692809,218634,676155,4791517,680073,15428068,3494724,882666,9958394,76866677,9266984,4797851
29508,329984,2835813,2254916,61031,680677,0,805555,0,129040,551050,30,1629617,46260,273527,0,2917,239196,0,62866,1658451,2510213,163061,44578,660513,4844753,685938,15420145,3513614,882386,9883961,76437183,9204216,4908031
29230,333670,2816492,2249156,61929,700064,0,798696,0,134338,531620,0,1611676,47576,273806,0,2817,234742,0,61852,1631106,2531035,162514,42568,650393,4773117,674063,15210257,3491904,881449,9924639,77471410,9282430,5450143
29374,324320,2823337,2268049,62735,702495,0,948561,0,132462,554454,0,1626049,48240,288359,0,2643,235678,0,61487,1647006,2566506,638138,227098,1560197,4775589,676527,15238887,3492056,878114,9950954,76635630,9242643,4937617
29005,310740,2796238,2311761,61164,705108,0,811461,0,128591,555285,0,1594369,47279,275821,0,1706,243456,0,61442,1637584,2513000,160973,43297,646215,4731151,673377,15161093,3508711,884561,9980869,77092648,9200670,5326282
29363,309567,2821674,2258921,62196,676913,0,805241,0,130495,541737,30,1639207,47863,276313,0,1021,239815,0,61266,1625778,2525434,699868,246801,3472161,4803672,674762,15243390,3507328,883815,9904497,76340514,9228235,5009203
29498,320147,2838965,2277717,61127,699416,0,812457,0,130896,546027,0,1646018,48021,274090,0,2045,237158,0,63829,1630161,2553861,165392,44144,672183,4786545,681105,15316789,3475642,874748,9936769,76803939,9294884,4926323
29086,320949,2820228,2277745,61655,686163,0,818989,0,130614,543633,0,1642042,49194,269108,0,2305,241735,0,61588,1659283,2584655,164702,268858,3495669,4780810,679126,15338995,3533623,887452,9932372,77052103,9214015,5419525
29479,311717,2830731,2331542,57578,664543,0,800884,0,128008,636562,0,1587271,47479,272952,0,2754,236423,0,61170,1580990,2492359,165639,44177,668121,4801821,675622,15228104,3495061,876645,9927149,76144345,9177782,4838259
29013,323799,2821044,2264145,62150,691743,0,806989,0,128165,544413,30,1598479,47868,264496,0,2526,233227,0,62254,1577810,2452897,165288,44085,3484096,4786376,680233,15384415,3521186,886121,9953531,77159989,9212377,5668126
29642,308364,2835015,2256289,62255,688678,0,811980,0,127383,543872,0,1643425,48078,262170,0,3050,234452,0,60837,1583625,2441322,165478,43910,676846,4735069,669458,15056746,3487401,880152,10017679,76448510,9192448,4943188
61335,384494,4158564,2289279,60748,681970,0,799229,0,125591,544660,0,1591389,48232,277906,0,3261,234192,0,62509,1616943,2516970,173634,48839,717817,4794569,676870,15236810,3487533,875287,9943096,80404016,10486942,8533870
29373,305667,2829881,2273120,61088,702093,0,782389,0,126206,546064,0,1556455,44830,269525,0,2316,239531,0,62261,1647055,2578907,701062,223214,704195,4737657,673786,15207542,3483537,879553,9899365,76296551,9205691,5005810
29369,288127,2819939,2325010,61792,694982,0,812838,0,130254,535259,0,1606545,45940,263112,0,2208,234307,0,62187,1662510,2536424,166007,45120,680443,4782320,681471,15332108,3509137,883163,9949763,76360337,9218925,4924300
29060,319643,2834935,2297907,62198,706990,0,793595,0,127020,549105,0,1598975,47357,277447,0,1699,240785,0,60761,1676513,2601262,705583,249009,3526817,4828800,684046,15515908,3479069,874798,9689142,76244275,9130781,5775536
29468,332213,2821665,2279221,62614,703809,0,948113,0,124489,546014,0,1624525,45351,280046,0,1514,229878,0,61746,1667616,2534326,167316,47468,681892,4751410,674978,15305983,3529523,886611,9934088,76416880,9239441,5027064
29295,323621,2833790,2218457,61107,698640,0,798845,0,130321,533458,0,1627214,47667,277021,0,900,238388,0,62407,1662953,2583076,162321,42836,667270,4769364,680169,15300966,3500715,882673,9868689,77001745,9245537,5473491
29613,319615,2819867,2283473,62704,704159,0,810984,59,129456,545293,0,1621860,46648,273152,0,3090,230949,0,61617,1625083,2568584,683640,243027,3512806,4815779,676968,15192529,3504983,891791,10060322,77114140,9292800,4983392
29334,290027,2846574,2293854,63339,698296,0,797674,0,128428,525580,0,1619776,45643,263158,0,2643,236281,0,62634,1636703,2435110,164476,44879,680914,4727653,673701,15208932,3497469,886817,9953661,76627748,9202240,4854886
29284,329856,2824025,2272407,60817,691160,0,814976,0,128123,545271,0,1617607,47468,271534,0,2489,238350,0,61839,1616311,2565018,169327,399012,6434034,4850801,678616,15128583,3498279,881954,9896731,77182628,9274185,5543260
29608,318666,2840872,2282740,61858,725135,0,815301,0,126712,585262,0,1625379,45543,275058,0,1591,240429,0,61665,1645023,2443158,161725,46515,681737,4794941,677835,15285595,3532871,891020,10013437,76959934,9277157,4861383
29248,340501,2822950,2289707,63412,722670,0,816345,0,123966,554486,0,1634772,44563,277724,0,2929,241942,0,63235,1698504,2571075,165781,47392,3541348,4793262,680337,15425860,3526028,888789,9989912,77672110,9302302,5481085
29515,364811,2779918,2255673,62119,695415,0,839590,0,125841,549524,0,1630193,43788,287175,0,1590,244058,0,62863,1673752,2659605,203937,85095,955109,4671368,637028,14915075,3530975,885444,10029783,77838134,9426182,4885618
29530,334461,2819035,2268072,62356,686348,0,831624,0,125502,540038,0,1612300,44611,282455,0,1182,242661,29,63445,1661016,2606045,206806,85674,968479,4704949,641931,15038616,3528537,894104,10094408,78937385,9462566,5670657
29427,317870,2793631,2228896,63078,668073,0,807397,0,126904,557135,0,1860482,45310,269143,0,3344,238181,0,63341,1631960,2669099,203908,81968,931263,4739587,650539,15189228,3532845,893591,9986550,76990210,9292459,5025878
29372,317980,2811461,2249643,62884,658900,0,847142,60,125968,549048,60,1625206,44842,274434,0,2977,240256,0,61902,1612513,2502228,201581,80737,914180,4711718,643883,15012900,3504350,886196,10034276,76995846,9268813,5389722
29394,305519,2788003,2311653,62468,690208,0,815540,29,125435,551569,0,1628377,45211,266899,0,1700,238400,0,61483,1611930,2529769,737992,265959,968775,4707978,647197,15080532,3489633,884593,10045922,76805992,9222206,4880612
29826,302553,2823612,2278721,63742,687565,0,863818,0,125158,537578,0,1632157,46051,271765,0,1730,234927,0,62359,1839653,3026892,265795,111039,1282499,6779228,742700,14963412,3465457,886238,10033043,77079375,9282969,4838107
